    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    2650       28989.4   593.9404   7.880E+00   0.9393   0.2000   1.669E-16   3.83377243E+00   8.31039008E+00
    2700       29364.5   565.8042   7.523E+00   0.8444   0.2000   1.795E-16   3.81630847E+00   8.25155514E+00
    2750       29723.9   570.1801   6.932E+00   0.7640   0.2000   1.513E-16   3.79956798E+00   8.21027574E+00
    2800         30098   569.6312   6.764E+00   0.7789   0.2000   1.467E-16   3.78195961E+00   8.15936530E+00
    2850       30443.9   567.5794   7.748E+00   0.8785   0.2000   1.739E-16   3.76545551E+00   8.11767141E+00
    2900       30821.9   567.3722   7.317E+00   0.8396   0.2000   1.868E-16   3.74753409E+00   8.05851414E+00
    2950       31184.8   590.8015   7.624E+00   0.8525   0.2000   1.875E-16   3.73050330E+00   7.99145452E+00
    3000       31558.1   644.3526   7.590E+00   0.8571   0.2000   2.015E-16   3.71347007E+00   7.92832313E+00
    3050       31933.9   646.9179   7.538E+00   0.8975   0.2000   1.714E-16   3.69671780E+00   7.88379513E+00
    3100       32295.6   701.7352   7.689E+00   0.8674   0.2000   2.132E-16   3.68040866E+00   7.83887784E+00
    3115         32400   209.9087   7.361E+00   0.8345   0.2000   3.136E-17   3.67571666E+00   7.82613116E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    3150       32661.5   483.4798   7.417E+00   0.9226   0.2000   1.599E-16   3.66391450E+00   7.78739141E+00
    3200       33009.6   660.3206   7.168E+00   0.8131   0.2000   1.774E-16   3.64758750E+00   7.72433425E+00
    3250       33366.2   569.3485   6.467E+00   0.7599   0.2000   1.539E-16   3.63032850E+00   7.66865427E+00
    3300       33720.9   567.2676   7.399E+00   0.8576   0.2000   2.364E-16   3.61341949E+00   7.61536587E+00
    3350       34095.5   568.3793   6.713E+00   0.8207   0.2000   1.726E-16   3.59580153E+00   7.55983907E+00
    3400       34455.4   570.4705   7.546E+00   0.8695   0.2000   2.119E-16   3.57903381E+00   7.49909294E+00
    3450       34793.7   571.7713   7.178E+00   0.8457   0.2000   1.614E-16   3.56345609E+00   7.44405820E+00
    3500       35171.3   567.3413   7.719E+00   0.9165   0.2000   2.564E-16   3.54597075E+00   7.38205641E+00
