    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0010   1.000E+01   0.1333   0.0194   0.000E+00   2.00000000E+00   2.00000000E+00
      50           500    21.8074   1.000E+01   0.1521   0.0151   4.888E-18   1.99508996E+00   1.99051071E+00
     100          1000    12.0294   1.000E+01   0.1660   0.0159   5.262E-18   1.99087770E+00   1.98276112E+00
     150          1500    11.9804   1.000E+01   0.1773   0.0194   5.151E-18   1.98719280E+00   1.97630651E+00
     200          2000    12.1923   1.000E+01   0.1830   0.0193   5.040E-18   1.98383841E+00   1.96998465E+00
     250          2500    12.4313   1.000E+01   0.1804   0.0182   5.288E-18   1.98068190E+00   1.96299448E+00
     300          3000    11.8766   1.000E+01   0.1783   0.0166   5.043E-18   1.97773332E+00   1.95585376E+00
     350          3500    13.1508   1.000E+01   0.1650   0.0152   4.747E-18   1.97506602E+00   1.94922285E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0023   1.000E+01   0.1333   0.0194   0.000E+00   2.00000000E+00   2.00000000E+00
      50           500    19.2146   1.000E+01   0.1521   0.0151   4.888E-18   1.99508996E+00   1.99051071E+00
     100          1000    13.5842   1.000E+01   0.1660   0.0159   5.262E-18   1.99087770E+00   1.98276112E+00
     150          1500    12.4487   1.000E+01   0.1773   0.0194   5.151E-18   1.98719280E+00   1.97630651E+00
     200          2000    12.4844   1.000E+01   0.1830   0.0193   5.040E-18   1.98383841E+00   1.96998465E+00
     250          2500    18.8259   1.000E+01   0.1804   0.0182   5.288E-18   1.98068190E+00   1.96299448E+00
     300          3000    12.5476   1.000E+01   0.1783   0.0166   5.043E-18   1.97773332E+00   1.95585376E+00
     350          3500    15.4791   1.000E+01   0.1650   0.0152   4.747E-18   1.97506602E+00   1.94922285E+00
     400          4000    14.2996   1.000E+01   0.1593   0.0146   4.908E-18   1.97181258E+00   1.94190479E+00
     450          4500    15.1232   1.000E+01   0.1567   0.0159   4.863E-18   1.96788422E+00   1.93387889E+00
     500          5000    15.0558   1.000E+01   0.1525   0.0176   4.679E-18   1.96400695E+00   1.92631170E+00
