ALT	PRESS	TEMP	RH	SPEED	DIR	POTT	VIRPOT	Ri
1312	867.98	19.205	23.455	2.4	124.3905759	304.4365184	305.0424368	
1313	867.885	19.2	23.49	2.45	126.9682574	304.4408418	305.0475697	0.057999299
1319	867.31	20.525	23.205	4.95	119.792671	305.878613	306.5277994	0.046083058
1321	867.07	20.81	23.21	5.7	118.1876736	306.1996931	306.8603352	0.038078514
1322	866.93	21.31	23.23	6	116.9946912	306.7346756	307.415904	0.197933177
1323	866.86	21.51	23.24	6.4	116.0946912	306.9501012	307.6398013	0.044802709
1325	866.67	21.98	23.26	6.8	113.6829263	307.4589809	308.1688919	0.211329464
1327	866.48	22.665	23.28	7	112.1446912	308.1919203	308.9318738	1.214693654
1329	866.3	23.42	23.29	7.75	111.9927557	308.9968693	309.7708473	0.094623283
1330	866.16	24.08	23.28	8	111.5946912	309.6988396	310.503059	0.370506605
1331	866.07	24.31	23.27	8.2	110.9946912	309.9476993	310.7625309	0.205076586
1332	865.965	24.62	23.27	8.25	110.4952972	310.2814719	311.1112686	4.396226468
1334	865.775	24.78	23.285	8.15	109.347452	310.4676789	311.3060106	1.225637562
1335	865.64	24.86	23.31	8.1	108.3946912	310.5648962	311.4082103	1.27945042
1336	865.58	24.88	23.33	8	108.3446912	310.5918959	311.4369915	0.088827713
1338	865.355	24.955	23.37	7.9	109.3946912	310.6931579	311.543688	0.666128253
1339	865.24	25.1	23.41	7.9	112.0946912	310.8560957	311.7154312	
1340	865.16	25.06	23.4	7.9	110.8946912	310.8226245	311.6797063	
1341	865.11	25.18	23.44	7.9	112.8946912	310.9528396	311.8174491	
1342	864.975	25.34	23.485	7.75	113.9430783	311.1334968	312.0080173	0.263750735
1343	864.845	25.52	23.565	7.7	114.7946912	311.3345038	312.2213746	2.639554121
1346	864.62	25.62	23.64	7.6	115.9946912	311.461921	312.3570855	1.254478614
1347	864.51	25.64	23.71	7.6	117.1446912	311.4941055	312.3931111	
1348	864.4	25.66	23.78	7.5	117.4946912	311.5262926	312.4291476	0.105617814
1349	864.33	25.7	23.82	7.5	117.0946912	311.5752113	312.4817768	
1350	864.18	25.74	23.86	7.5	116.5946912	311.632383	312.5427823	
1351	864.07	25.68	23.935	7.5	116.4446912	311.5811687	312.4914186	
1353	863.895	25.765	24.09	7.45	118.2409998	311.6878507	312.608756	2.799526611
1354	863.84	25.87	24.27	7.4	119.8946912	311.8030151	312.7365284	1.510529523
1355	863.74	25.91	24.42	7.4	120.8946912	311.8550504	312.7966507	
1356	863.5766667	26.12	24.71333333	7.466666667	121.8272809	312.0909156	313.0556944	1.738739565
1357	863.48	26.29	24.91	7.5	121.6946912	312.2781956	313.2603828	5.519192667
1359	863.26	26.29	24.89	7.4	121.1946912	312.3009544	313.282683	0.149046211
1360	863.17	26.33	24.88	7.5	120.1946912	312.3519862	313.3357221	0.167080086
1361	863.13	26.33	24.86	7.5	120.2906911	312.356126	313.3391313	
1362	863.04	26.37	24.81	7.6	120.4946912	312.4071627	313.3905914	0.167073646
1363	862.91	26.37	24.73	7.7	121.0946912	312.4206226	313.4010751	0.044062309
1364	862.805	26.35	24.74	7.7	121.0446912	312.4106341	313.39051	
1365	862.68	26.37	24.69	7.8	121.3946912	312.4444426	313.4236536	0.110675527
1366	862.64	26.41	24.63	7.9	121.5946912	312.4903126	313.4694591	0.150140112
1367	862.5	26.46	24.6	8	121.4946912	312.5569792	313.5379656	0.218174304
1369	862.345	26.41	24.575	8.1	120.6446912	312.5208823	313.4982833	-0.236302303
1371	862.1133333	26.47333333	24.48666667	8.033333333	118.2975923	312.6109772	313.5887732	1.326749222
1386	860.62	26.33	24.79	8	118.9946912	312.6163976	313.6004087	2.395761829
1388	860.47	26.37	24.91	7.9	118.1946912	312.6737392	313.6650249	0.37542719
1389	860.355	26.375	25.03	7.8	118.4446912	312.6909114	313.6874354	0.056213835
1390	860.27	26.37	25.06	7.8	118.2946912	312.6945274	313.6920882	
1391	860.18	26.42	25.06	7.9	117.2946912	312.7560849	313.7566637	0.201481229
1393	860	26.46	25.06	7.9	116.9946912	312.8165684	313.8197339	
1394	859.9033333	26.41666667	25.05666667	7.733333333	117.395553	312.7813808	313.782059	-0.041462074
1395	859.78	26.37	25.07	7.8	117.0946912	312.7454847	313.7441942	-0.264395978
1396	859.65	26.42	25.06	8	118.0946912	312.8112203	313.8126133	0.053789056
1397	859.56	26.37	25.08	8	118.0946912	312.7683757	313.767821	
1398	859.495	26.435	25.085	7.9	118.6946912	312.8430167	313.8465146	0.244292055
1400	859.315	26.415	25.085	7.9	118.7946912	312.8408711	313.8434898	
1401	859.2	26.41	25.08	7.9	120.2946912	312.8476241	313.8499311	
