-41.40	1.05	2.55	0.655	-0.232	0.189	0.183	-0.00507	0.106	0.368	2.971	3.656
-39.60	-0.68	2.55	0.624	-0.237	0.177	0.189	-0.00237	0.162	0.182	3.080	3.136
-37.80	-2.48	2.55	0.616	-0.225	0.174	0.188	0.00062	0.280	0.030	3.272	2.955
-36.08	-4.28	2.55	0.618	-0.210	0.185	0.186	0.00244	0.426	-0.098	3.205	3.181
-34.28	-6.00	2.55	0.629	-0.196	0.187	0.172	0.00427	0.384	-0.033	3.145	3.189
-32.48	-7.80	2.55	0.674	-0.194	0.198	0.170	0.00415	0.292	0.040	2.818	3.373
-30.75	-9.53	2.55	0.681	-0.198	0.190	0.167	0.00243	0.227	0.084	2.889	3.555
-29.03	-11.33	2.55	0.693	-0.210	0.186	0.170	0.00018	0.140	0.251	2.845	3.743
-27.23	-13.13	2.55	0.687	-0.230	0.184	0.176	-0.00205	0.065	0.402	2.863	3.848
-25.43	-14.85	2.55	0.647	-0.243	0.180	0.178	-0.00455	0.018	0.424	3.313	3.683
-27.23	-16.58	2.55	0.622	-0.230	0.185	0.192	-0.00211	0.146	0.260	3.003	3.102
-28.95	-14.85	2.55	0.639	-0.210	0.186	0.194	-0.00422	0.080	0.450	3.053	3.468
-30.75	-13.05	2.55	0.686	-0.203	0.187	0.197	-0.00320	0.000	0.453	2.993	3.726
-32.48	-11.33	2.55	0.701	-0.214	0.192	0.184	-0.00170	0.100	0.435	3.074	3.886
-34.28	-9.53	2.55	0.695	-0.219	0.200	0.168	-0.00110	0.122	0.293	2.754	3.864
-36.08	-7.73	2.55	0.659	-0.210	0.198	0.158	0.00175	0.195	0.042	2.663	3.481
-37.80	-6.00	2.55	0.629	-0.198	0.200	0.157	0.00209	0.294	0.030	2.783	3.441
-39.60	-4.28	2.55	0.586	-0.185	0.197	0.160	0.00407	0.470	-0.101	3.154	3.422
-41.40	-2.48	2.55	0.593	-0.185	0.188	0.179	0.00384	0.313	-0.169	3.086	3.064
-43.13	-0.68	2.55	0.594	-0.164	0.184	0.191	0.00161	0.252	0.066	3.168	2.995
-44.93	-2.48	2.55	0.648	-0.169	0.205	0.156	0.00511	0.364	-0.209	2.987	3.370
-43.20	-4.28	2.55	0.640	-0.255	0.209	0.146	0.00202	0.264	-0.005	2.730	3.570
-41.40	-6.08	2.55	0.657	-0.256	0.209	0.163	0.00266	0.130	0.248	2.631	3.807
-39.60	-7.80	2.55	0.687	-0.252	0.201	0.167	0.00103	0.092	0.275	2.929	3.570
-37.88	-9.53	2.55	0.691	-0.234	0.200	0.185	-0.00110	0.028	0.298	2.999	3.612
-36.08	-11.33	2.55	0.669	-0.201	0.191	0.196	-0.00364	-0.027	0.426	3.130	3.760
-34.28	-13.13	2.55	0.642	-0.153	0.195	0.201	-0.00526	-0.017	0.346	3.050	3.418
-32.55	-14.85	2.55	0.624	-0.095	0.193	0.219	-0.00303	0.100	0.300	2.973	3.028
-30.75	-16.65	2.55	0.634	-0.126	0.195	0.192	0.00376	0.378	-0.052	3.330	3.048
-29.03	-18.38	2.55	0.597	-0.207	0.209	0.170	-0.00227	0.441	0.004	3.201	3.542
-30.75	-20.18	2.55	0.781	0.002	0.296	0.189	0.01268	-0.078	-0.007	2.533	3.464
-32.48	-18.38	2.55	0.473	-0.112	0.270	0.238	-0.02013	-0.063	0.304	2.972	2.851
-34.28	-16.58	2.55	0.574	-0.001	0.199	0.178	0.00298	0.347	-0.188	3.175	3.178
-36.08	-14.85	2.55	0.566	-0.032	0.208	0.183	-0.00244	0.102	0.178	2.870	3.183
-39.60	-11.33	2.55	0.634	-0.061	0.191	0.187	0.00269	0.148	-0.319	3.348	3.304
-41.40	-9.53	2.55	0.697	-0.076	0.200	0.214	0.00467	0.167	-0.130	3.289	2.876
-43.13	-7.80	2.55	0.750	-0.121	0.219	0.226	0.00736	0.172	0.210	3.103	3.038
-44.93	-6.00	2.55	0.742	-0.177	0.267	0.213	0.01908	0.007	-0.063	2.694	3.231
-46.65	-4.28	2.55	0.689	-0.284	0.222	0.233	-0.00854	0.009	0.602	3.230	3.397
-37.80	-13.13	2.55	0.582	-0.050	0.200	0.175	-0.00080	0.070	0.044	3.262	3.508
-39.60	-14.85	2.55	0.425	-0.171	0.254	0.265	-0.00464	-0.181	0.278	2.797	2.811
-37.80	-16.58	2.55	0.569	-0.101	0.236	0.196	0.01112	0.151	-0.482	2.897	3.404
-36.08	-18.38	2.55	0.631	-0.100	0.222	0.179	0.00802	0.042	-0.179	2.870	3.408
-37.88	-20.18	2.55	0.690	-0.192	0.179	0.175	0.00250	0.266	-0.072	3.007	3.553
-34.28	-23.70	2.55	0.675	-0.250	0.168	0.165	-0.00195	0.100	0.339	3.087	4.002
-36.08	-21.98	2.55	0.676	-0.220	0.169	0.169	0.00033	0.110	0.064	3.009	3.622
-39.60	-18.38	2.55	0.713	-0.192	0.184	0.185	0.00258	0.335	-0.139	2.975	3.186
-41.40	-16.65	2.55	0.717	-0.223	0.178	0.195	0.00095	0.419	-0.084	3.331	3.149
-43.20	-14.85	2.55	0.653	-0.292	0.168	0.197	-0.00556	0.116	0.068	3.202	2.963
-44.93	-13.13	2.55	0.639	-0.297	0.163	0.197	-0.00860	0.105	0.238	3.226	3.050
-46.65	-11.33	2.55	0.649	-0.289	0.171	0.199	-0.00994	0.051	0.381	3.193	3.353
-48.45	-9.53	2.55	0.663	-0.291	0.170	0.183	-0.00693	0.082	0.498	3.064	4.170
-50.25	-7.80	2.55	0.664	-0.264	0.175	0.167	-0.00447	0.063	0.353	3.164	4.067
-51.98	-9.53	2.55	0.640	-0.226	0.186	0.186	-0.00252	0.226	0.420	3.102	3.530
-50.25	-11.33	2.55	0.613	-0.223	0.185	0.191	-0.00037	0.272	0.148	3.078	3.057
-48.45	-13.13	2.55	0.602	-0.219	0.186	0.191	0.00228	0.415	-0.005	3.212	2.975
-46.65	-14.85	2.55	0.613	-0.217	0.187	0.181	0.00349	0.350	-0.107	3.028	3.038
-44.93	-16.58	2.55	0.650	-0.213	0.199	0.170	0.00458	0.363	-0.018	2.885	3.163
-43.13	-18.38	2.55	0.692	-0.210	0.199	0.169	0.00416	0.271	-0.027	2.705	3.335
-41.40	-20.18	2.55	0.693	-0.206	0.193	0.165	0.00194	0.325	0.177	2.877	3.663
-39.60	-21.90	2.55	0.711	-0.202	0.180	0.171	0.00018	0.064	0.296	2.976	3.861
-37.80	-23.70	2.55	0.685	-0.227	0.179	0.178	-0.00195	0.106	0.352	2.918	3.781
-36.08	-25.43	2.55	0.644	-0.233	0.176	0.181	-0.00419	0.095	0.340	3.013	3.417
-37.80	-27.23	2.55	0.607	-0.173	0.186	0.183	0.00203	0.238	-0.022	3.120	2.853
-39.60	-25.43	2.55	0.640	-0.159	0.182	0.201	-0.00026	0.085	0.290	3.300	3.020
-41.40	-23.63	2.55	0.681	-0.179	0.186	0.195	-0.00262	-0.009	0.361	3.066	3.603
-43.13	-21.90	2.55	0.691	-0.190	0.184	0.184	-0.00084	0.063	0.378	3.001	3.916
-44.85	-20.18	2.55	0.695	-0.214	0.192	0.173	0.00022	0.123	0.235	2.888	3.917
-46.65	-18.38	2.55	0.678	-0.220	0.202	0.159	0.00102	0.165	0.013	2.723	3.468
-48.45	-16.58	2.55	0.649	-0.214	0.215	0.154	0.00218	0.362	0.094	2.780	3.246
-50.18	-14.85	2.55	0.614	-0.195	0.212	0.157	0.00402	0.378	-0.041	2.769	3.418
-51.98	-13.05	2.55	0.598	-0.189	0.207	0.171	0.00452	0.515	-0.186	3.173	3.053
-53.70	-11.33	2.55	0.608	-0.163	0.198	0.191	0.00607	0.482	-0.039	3.484	2.908
-55.50	-13.13	2.55	0.665	-0.211	0.226	0.153	0.00568	0.519	-0.166	3.071	3.469
-53.78	-14.85	2.55	0.671	-0.256	0.229	0.159	0.00373	0.225	0.085	2.483	3.385
-51.98	-16.65	2.55	0.707	-0.228	0.220	0.169	0.00503	0.132	0.121	2.650	3.430
-50.25	-18.38	2.55	0.721	-0.214	0.204	0.178	0.00483	0.120	0.152	2.874	3.408
-48.45	-20.18	2.55	0.711	-0.172	0.189	0.191	0.00396	0.025	0.105	3.085	3.149
-46.65	-21.98	2.55	0.680	-0.127	0.198	0.202	0.00103	0.101	0.174	3.069	3.305
-44.93	-23.70	2.55	0.635	-0.082	0.192	0.201	-0.00232	0.001	0.203	3.219	3.239
-43.20	-25.43	2.55	0.616	-0.042	0.188	0.197	-0.00063	0.127	0.056	3.053	2.935
-41.40	-27.23	2.55	0.642	-0.080	0.189	0.168	0.00402	0.438	-0.166	3.420	3.267
-39.60	-29.03	2.55	0.648	-0.227	0.211	0.142	-0.00033	0.469	0.008	3.342	3.732
