ALT	PRESS	TEMP	RH	SPEED	DIR	POTT	VIRPOT	Ri
1309	868.09	16.65	27.215	1.25	134.9066913	301.7649962	302.3676468	
1310	867.9928571	16.66357143	27.22285714	1.157142857	136.7341754	301.788787	302.3921963	0.093347945
1311	867.9033333	16.69666667	27.21166667	1.116666667	137.0260028	301.8321538	302.4366087	0.895435048
1312	867.775	16.805	27.265	1.3	146.1871203	301.9577368	302.5674861	0.126346061
1314	867.595	17.045	27.25	2.05	156.1801038	302.2256036	302.8441107	0.032179631
1316	867.4	17.26	27.19	2.4	160.0946912	302.4689602	303.0943699	0.134143652
1317	867.32	17.41	27.19	2.6	160.7946912	302.6331718	303.2643537	0.138532894
1318	867.195	17.805	27.1	3.25	160.3023835	303.0570789	303.7014702	0.033811412
1319	867.12	17.86	27.09	3.5	159.3946912	303.1218625	303.7682281	0.034923902
1320	867.01	18.11	26.99	4	159.5946912	303.3932755	304.0471328	0.036547283
1321	866.92	18.2	26.92	4.2	159.6946912	303.4960353	304.151827	0.08645572
1322	866.78	18.33	26.83	4.2	158.3946912	303.64548	304.3043476	
1324	866.615	18.45	26.745	4.4	156.8412821	303.7870287	304.4487267	0.23797648
1326	866.39	18.63	26.59666667	4.7	153.7280273	303.9971269	304.662531	0.156891786
1328	866.16	18.75	26.46	4.85	150.1348965	304.1452452	304.8122446	0.442250226
1330	865.9466667	19.02	26.34	5.3	145.777055	304.4480193	305.123042	0.100353879
1332	865.78	19.44	26.26	5.9	144.0946912	304.9024541	305.592721	0.084603036
1334	865.59	19.975	26.195	6.35	143.5482345	305.4791428	306.1902371	0.190519934
1335	865.47	20.845	26.04	6.85	142.1888514	306.3979595	307.1424938	0.122573441
1336	865.35	21.22	25.89	6.9	140.4946912	306.8009455	307.557956	5.369132905
1337	865.22	21.46	25.81	7	140.0946912	307.0642742	307.8298842	0.876392718
1338	865.13	21.57	25.7	7.1	140.1946912	307.1880634	307.955486	0.411833008
1339	865.04	21.75	25.62	7.2	140.9946912	307.3848242	308.1581369	0.654201966
1341	864.88	21.935	25.505	7.3	139.1446912	307.5939284	308.3724053	1.389613213
1342	864.79	22.19	25.41	7.5	139.6946912	307.8689015	308.6563261	0.228221447
1343	864.64	22.23	25.33	7.4	139.4946912	307.9258747	308.71285	0.189120363
1344	864.58	22.23	25.28	7.4	138.9946912	307.9319862	308.7174796	
1345	864.47	22.27	25.215	7.55	139.2960157	307.9848933	308.7703449	0.07804413
1346	864.41	22.31	25.16	7.3	137.7946912	308.0327093	308.8183662	0.025388849
1347	864.27	22.38	25.14	7.6	135.7946912	308.1199612	308.9084006	0.032164673
1348	864.155	22.645	25.095	7.75	130.9875935	308.4079877	309.2075106	0.424334201
1349	864.06	22.83	25.06	7.7	127.5946912	308.6105796	309.417823	2.684532416
1351	863.89	22.91	25.035	7.8	126.5934091	308.7113658	309.5218074	0.667575589
1352	863.77	22.91	25.01	7.9	126.7946912	308.7236311	309.5334111	0.040620417
1353	863.67	22.99	25	8	128.0946912	308.8172785	309.6306651	0.310061682
1354	863.62	22.99	24.99	8.1	128.6946912	308.8223919	309.635515	0.01693004
1355	863.51	23.06	24.98	8.2	129.5946912	308.9066431	309.7229197	0.278885157
1356	863.35	23.1	24.98	8.1	130.6946912	308.9647317	309.7831234	0.192256812
1358	863.185	23.1	24.97	8.1	133.8946912	308.9816215	309.7998911	
1359	863.09	23.1	24.97	8.1	135.5946912	308.9913478	309.8097357	
1361	862.91	23.14	24.97	8.2	136.8946912	309.0515033	309.8720365	0.398141301
1362	862.815	23.14	24.96	8.45	137.9940995	309.0612349	309.8815582	0.005152737
1363	862.68	23.22	24.96	8.5	136.6946912	309.1585185	309.9828646	1.287403014
1364	862.6	23.26	24.96	8.5	135.7946912	309.2084456	310.0348256	
1365	862.47	23.3	24.96	8.6	133.3946912	309.2635034	310.0919852	0.182102829
1366	862.365	23.355	24.97	8.5	131.3535152	309.3316517	310.1632711	0.225357786
1368	862.23	23.41	24.97	8.4	129.2946912	309.4028844	310.2373563	0.471026838
1369	862.08	23.51	24.975	8.4	128.8446912	309.5226163	310.3623441	
1370	861.96	23.73	24.99	8.3	127.8946912	309.7644875	310.6157494	0.798826947
1371	861.91	23.85	25	8.3	127.8946912	309.8948367	310.7524936	
1373	861.69	24.01	25.02	8.25	129.0419639	310.0844228	310.9511087	5.004444108
1375	861.49	24.15	25.05	7.95	129.9462635	310.2511077	311.1262131	0.122162787
1377	861.31	24.29	25.1	7.7	129.1946912	310.4157571	311.300035	0.173684333
1378	861.19	24.58	25.145	7.45	128.3470402	310.7307901	311.6318998	0.165998321
1379	861.14	24.79	25.2	7.2	127.7946912	310.9551238	311.8693676	0.118123446
1381	860.92	24.89	25.265	7.25	127.7484844	311.0822236	312.0044761	3.345114267
1382	860.8	25.015	25.345	7.3	129.2946912	311.2251014	312.1571843	1.879398002
1383	860.7	25.08	25.4	7.4	129.8946912	311.3032917	312.241071	0.257070217
1384	860.62	25.12	25.43	7.4	129.5946912	311.3533221	312.2945057	
1385	860.46	25.25	25.56	7.3	127.9946912	311.5055886	312.4589762	0.500329638
1386	860.425	25.205	25.515	7.45	129.0926777	311.4622357	312.4115157	-0.063321781
1388	860.21	25.31	25.625	7.35	126.6946912	311.5941183	312.5536279	0.866527416
1389	860.15	25.33	25.66	7.3	127.7946912	311.6212151	312.583238	0.35605152
1390	860.04	25.29	25.71	7.6	128.4946912	311.590851	312.5526784	-0.011084395
