377	0.00	-60.00	1.28	0.0092	0.0082	88.76	1.17	1.12
378	-7.50	-52.50	1.28	0.0116	0.0103	88.57	0.93	0.37
379	-15.00	-45.00	1.28	0.0181	0.0112	61.60	0.61	0.20
380	-22.50	-37.50	1.28	0.0219	0.0122	55.62	0.57	0.68
381	-30.00	-30.00	1.28	0.0256	0.0135	52.48	0.96	1.90
382	-37.50	-22.50	1.28	0.0226	0.0168	74.45	1.51	5.37
383	-45.00	-15.00	1.28	0.0192	0.0219	114.05	2.89	14.92
384	-52.50	-7.50	1.28	0.0125	0.0174	138.92	2.80	13.81
385	-60.00	0.00	1.28	0.0029	0.0081	277.93	9.24	137.95
386	40.50	-87.00	1.28	0.0036	0.0038	105.53	39.56	4720.55
387	33.00	-81.00	1.28	0.0065	0.0048	73.87	2.50	50.48
388	25.50	-72.00	1.28	0.0072	0.0053	73.59	6.63	346.39
389	18.00	-66.00	1.28	0.0109	0.0062	57.16	0.74	0.94
390	10.50	-58.50	1.28	0.0119	0.0065	55.06	1.21	20.27
391	3.00	-51.00	1.28	0.0150	0.0073	48.60	0.58	0.50
392	-4.50	-43.50	1.28	0.0175	0.0072	41.17	0.42	1.31
393	-12.00	-37.50	1.28	0.0196	0.0082	41.93	19.68	1867.92
394	-19.50	-30.00	1.28	0.0185	0.0090	48.48	0.72	1.47
395	-27.75	-22.50	1.28	0.0171	0.0101	59.34	0.92	2.05
396	-35.25	-15.00	1.28	0.0128	0.0114	88.77	1.76	5.89
397	-42.75	-7.50	1.28	0.0089	0.0104	116.38	2.00	7.63
398	-50.25	0.00	1.28	0.0022	0.0067	309.10	10.01	309.90
399	-57.75	7.50	1.28	0.0002	0.0015	886.71	43.46	3313.94
400	-52.50	7.50	1.28	0.0003	0.0019	671.84	30.40	1657.92
401	-45.00	0.00	1.28	0.0019	0.0063	327.53	6.21	53.78
402	-37.50	-7.50	1.28	0.0081	0.0123	151.41	2.87	15.21
403	-30.00	-15.00	1.28	0.0150	0.0118	78.76	1.24	3.16
404	-22.50	-22.50	1.28	0.0167	0.0109	65.39	1.34	5.07
405	-15.00	-30.00	1.28	0.0190	0.0087	46.00	0.65	1.01
406	-7.50	-37.50	1.28	0.0183	0.0079	43.45	0.59	1.02
407	0.00	-45.00	1.28	0.0173	0.0079	45.45	2.38	76.17
408	7.50	-52.50	1.28	0.0140	0.0077	55.16	10.11	738.80
409	15.00	-60.00	1.28	0.0117	0.0069	59.28	0.91	10.77
410	22.50	-67.50	1.28	0.0097	0.0061	62.72	0.89	0.73
411	30.00	-75.00	1.28	0.0064	0.0051	79.33	1.23	1.56
412	37.50	-82.50	1.28	0.0052	0.0042	80.63	1.60	4.06
414	45.00	-82.50	1.28	0.0046	0.0041	90.40	2.15	23.68
415	37.50	-75.00	1.28	0.0068	0.0052	75.92	1.07	1.09
416	30.00	-67.50	1.28	0.0085	0.0062	72.33	1.14	6.21
417	22.50	-60.00	1.28	0.0117	0.0070	59.75	5.03	274.82
418	15.00	-52.50	1.28	0.0130	0.0075	57.34	0.51	3.09
419	7.50	-45.00	1.28	0.0165	0.0072	43.82	0.46	0.48
420	0.00	-37.50	1.28	0.0173	0.0077	44.78	0.54	0.78
421	-7.50	-30.00	1.28	0.0180	0.0091	50.66	0.98	4.02
422	-15.00	-22.50	1.28	0.0155	0.0103	66.08	1.03	2.31
423	-22.50	-15.00	1.28	0.0126	0.0116	91.66	1.40	3.49
424	-30.00	-7.50	1.28	0.0062	0.0102	163.02	2.78	14.62
425	-37.50	0.00	1.28	0.0015	0.0045	296.63	6.13	70.53
426	-45.00	7.50	1.28	0.0002	0.0019	1074.34	11.98	215.77
427	-45.00	15.00	1.28	0.0001	0.0009	1348.72	62.75	8395.39
428	-36.00	7.50	1.28	0.0002	0.0014	605.06	11.76	443.99
429	-28.50	0.00	1.28	0.0012	0.0028	222.74	4.12	28.69
430	-21.00	-6.00	1.28	0.0047	0.0074	156.83	2.80	11.30
431	-13.50	-13.50	1.28	0.0073	0.0097	133.06	64.39	8842.05
432	-6.00	-21.75	1.28	0.0135	0.0091	67.33	57.09	7830.91
433	1.50	-29.25	1.28	0.0149	0.0065	43.58	0.60	0.77
434	9.00	-36.00	1.28	0.0156	0.0055	35.32	0.92	14.14
435	16.50	-43.50	1.28	0.0151	0.0051	33.95	0.46	0.56
436	24.00	-51.00	1.28	0.0142	0.0051	35.55	0.25	-0.09
437	31.50	-58.50	1.28	0.0120	0.0052	43.86	0.43	1.75
438	39.00	-65.25	1.28	0.0101	0.0048	47.94	0.58	0.70
439	46.50	-72.75	1.28	0.0073	0.0044	60.98	0.89	0.94
441	52.50	-75.00	1.28	0.0078	0.0046	59.17	0.89	4.44
442	45.00	-67.50	1.28	0.0095	0.0049	51.63	0.60	0.05
443	37.50	-60.00	1.28	0.0115	0.0050	43.50	0.34	0.00
444	30.00	-52.50	1.28	0.0126	0.0054	42.96	0.33	-0.02
445	22.50	-45.00	1.28	0.0146	0.0052	35.66	0.50	0.96
446	15.00	-37.50	1.28	0.0142	0.0057	40.47	0.50	0.72
447	7.50	-30.00	1.28	0.0146	0.0067	45.62	0.66	1.35
448	0.00	-22.50	1.28	0.0116	0.0077	66.41	0.90	1.30
449	-7.50	-15.00	1.28	0.0072	0.0073	101.20	7.54	426.26
450	-15.00	-7.50	1.28	0.0045	0.0061	135.92	2.45	9.77
451	-22.50	0.00	1.28	0.0020	0.0044	217.39	4.19	34.56
452	-30.00	7.50	1.28	0.0004	0.0018	509.47	10.77	198.82
453	-22.50	7.50	1.28	0.0004	0.0019	472.16	8.93	120.07
454	-15.00	0.00	1.28	0.0023	0.0050	218.78	3.75	20.70
455	-7.50	-7.50	1.28	0.0039	0.0056	145.69	2.31	7.00
456	0.00	-15.00	1.28	0.0074	0.0068	91.26	1.22	1.94
457	7.50	-22.50	1.28	0.0095	0.0070	73.09	0.88	1.07
458	15.00	-30.00	1.28	0.0123	0.0068	54.83	0.73	1.59
459	22.50	-37.50	1.28	0.0136	0.0059	43.24	0.60	1.05
460	30.00	-45.00	1.28	0.0132	0.0054	40.95	0.53	0.93
461	37.50	-52.50	1.28	0.0121	0.0055	45.48	0.40	0.37
462	45.00	-60.00	1.28	0.0105	0.0050	47.99	0.37	-0.21
463	52.50	-67.50	1.28	0.0089	0.0049	55.09	0.52	-0.08
471	56.25	-60.00	1.28	0.0095	0.0038	39.54	0.22	-0.13
472	48.75	-52.50	1.28	0.0105	0.0034	32.56	0.30	0.53
473	41.25	-45.00	1.28	0.0101	0.0036	36.09	0.36	0.21
474	33.75	-37.50	1.28	0.0102	0.0038	37.63	0.46	0.61
475	26.25	-30.00	1.28	0.0073	0.0043	58.72	0.66	0.41
476	18.75	-22.50	1.28	0.0071	0.0048	67.67	0.68	0.15
477	11.25	-15.00	1.28	0.0048	0.0047	97.26	3.22	93.96
478	3.75	-7.50	1.28	0.0026	0.0045	169.98	2.80	12.39
479	-3.75	0.00	1.28	0.0010	0.0025	239.74	3.64	18.70
480	-12.75	7.50	1.28	0.0002	0.0018	770.38	8.54	120.42
481	-7.50	7.50	1.28	0.0001	0.0013	1462.06	9.08	147.91
482	0.00	0.00	1.28	0.0015	0.0034	223.15	3.81	20.16
483	7.50	-7.50	1.28	0.0024	0.0040	164.82	2.63	10.19
484	15.00	-15.00	1.28	0.0052	0.0051	98.69	1.45	2.87
485	22.50	-22.50	1.28	0.0059	0.0044	75.79	0.92	0.89
486	30.00	-30.00	1.28	0.0079	0.0045	56.78	0.57	0.28
487	37.50	-37.50	1.28	0.0089	0.0041	45.79	0.62	1.20
488	45.00	-45.00	1.28	0.0106	0.0036	34.03	0.41	0.42
489	52.50	-52.50	1.28	0.0101	0.0038	37.20	0.42	0.37
490	60.00	-60.00	1.28	0.0097	0.0036	37.12	0.42	0.34
491	63.75	-67.50	1.28	0.0089	0.0035	39.16	0.24	-0.33
492	17.25	0.00	1.28	0.0007	0.0016	213.97	3.76	20.61
493	24.75	-7.50	1.28	0.0017	0.0028	162.92	2.68	11.03
494	32.25	-15.00	1.28	0.0038	0.0036	94.70	1.39	2.45
495	39.75	-22.50	1.28	0.0048	0.0038	80.06	1.12	1.67
496	47.25	-30.00	1.28	0.0060	0.0034	56.87	0.64	0.24
497	54.75	-37.50	1.28	0.0076	0.0030	39.93	0.31	0.16
498	62.25	-45.00	1.28	0.0079	0.0029	35.94	0.47	0.34
499	69.75	-51.75	1.28	0.0082	0.0027	33.01	0.42	0.28
500	75.00	-52.50	1.28	0.0076	0.0028	37.27	0.45	0.70
501	67.50	-45.00	1.28	0.0077	0.0030	39.76	0.44	0.61
502	60.00	-37.50	1.28	0.0068	0.0032	47.69	0.46	0.57
503	52.50	-30.00	1.28	0.0064	0.0036	57.13	0.58	0.39
504	45.00	-22.50	1.28	0.0048	0.0037	77.25	0.94	0.73
505	37.50	-15.00	1.28	0.0035	0.0038	108.43	1.70	3.92
506	30.00	-7.50	1.28	0.0019	0.0027	144.20	2.58	9.92
507	22.50	0.00	1.28	0.0011	0.0021	192.83	3.71	20.00
508	28.50	0.00	1.28	0.0010	0.0021	201.72	4.26	27.79
509	36.00	-7.50	1.28	0.0019	0.0028	146.31	2.33	7.83
510	45.00	-15.00	1.28	0.0034	0.0037	109.03	1.80	4.63
511	52.50	-22.50	1.28	0.0050	0.0039	78.60	0.99	1.30
512	60.00	-30.00	1.28	0.0062	0.0036	58.47	0.63	0.42
513	67.50	-37.50	1.28	0.0066	0.0033	49.60	0.61	1.10
514	75.00	-45.00	1.28	0.0072	0.0030	41.76	0.57	1.69
515	82.50	-52.50	1.28	0.0074	0.0028	37.96	0.46	0.57
516	84.00	-43.50	1.28	0.0064	0.0026	40.90	0.38	0.54
517	76.50	-37.50	1.28	0.0064	0.0028	44.13	0.41	0.30
518	69.00	-30.00	1.28	0.0051	0.0030	57.74	0.63	0.44
519	61.50	-22.50	1.28	0.0030	0.0029	96.85	1.26	1.61
520	52.50	-15.00	1.28	0.0024	0.0027	112.43	1.46	3.42
521	45.00	-7.50	1.28	0.0016	0.0023	141.97	2.07	5.66
522	37.50	0.00	1.28	0.0008	0.0020	246.04	3.66	31.41
523	45.00	0.00	1.28	0.0008	0.0018	224.22	2.95	13.29
524	52.50	-7.50	1.28	0.0020	0.0027	140.47	2.16	6.62
525	60.00	-15.00	1.28	0.0025	0.0028	112.66	1.51	2.73
526	67.50	-22.50	1.28	0.0038	0.0031	82.54	0.96	0.74
527	75.00	-30.00	1.28	0.0046	0.0031	68.25	0.74	0.64
528	82.50	-37.50	1.28	0.0057	0.0028	47.87	0.42	0.10
529	90.00	-45.00	1.28	0.0063	0.0026	41.90	0.52	0.86
530	90.00	-37.50	1.28	0.0055	0.0029	51.88	0.61	0.78
531	82.50	-30.00	1.28	0.0045	0.0029	65.55	0.66	0.35
532	75.00	-22.50	1.28	0.0038	0.0031	81.61	1.24	2.55
533	67.50	-15.00	1.28	0.0027	0.0028	103.04	1.42	2.82
534	60.00	-7.50	1.28	0.0020	0.0027	132.05	2.20	6.98
535	52.50	0.00	1.28	0.0010	0.0018	191.46	3.14	14.51
536	60.00	0.00	1.28	0.0002	0.0014	874.51	3.07	14.82
537	67.50	-7.50	1.28	0.0007	0.0018	264.79	2.36	15.98
538	75.75	-15.00	1.28	0.0018	0.0023	125.11	1.50	3.59
539	83.25	-22.50	1.28	0.0027	0.0024	91.57	0.95	1.02
540	90.75	-30.00	1.28	0.0036	0.0025	68.43	0.65	0.30
541	97.50	-30.00	1.28	0.0035	0.0025	71.93	0.80	0.76
542	90.00	-22.50	1.28	0.0026	0.0026	101.63	1.16	1.77
543	82.50	-15.00	1.28	0.0021	0.0023	111.65	1.41	2.64
544	75.00	-7.50	1.28	0.0010	0.0020	193.52	2.30	7.54
545	67.50	0.00	1.28	0.0005	0.0015	286.78	2.80	11.95
546	75.00	0.00	1.28	0.0005	0.0015	289.59	3.25	17.92
547	82.50	-7.50	1.28	0.0011	0.0021	183.34	3.10	46.79
548	90.00	-15.00	1.28	0.0020	0.0023	116.99	1.58	4.67
549	97.50	-22.50	1.28	0.0027	0.0025	93.18	1.21	2.54
550	105.00	-30.00	1.28	0.0036	0.0025	71.69	0.76	0.53
551	67.50	-60.00	1.28	0.0092	0.0037	40.30	0.41	0.17
552	60.00	-52.50	1.28	0.0094	0.0038	40.31	0.41	0.34
553	52.50	-45.00	1.28	0.0096	0.0040	41.13	0.53	0.68
554	45.00	-37.50	1.28	0.0085	0.0041	48.49	0.54	0.47
555	37.50	-30.00	1.28	0.0079	0.0047	59.43	0.74	1.03
556	30.00	-22.50	1.28	0.0064	0.0049	76.93	1.04	1.95
557	22.50	-15.00	1.28	0.0047	0.0050	107.33	1.76	4.54
558	15.00	-7.50	1.28	0.0028	0.0039	138.60	2.32	6.87
559	7.50	0.00	1.28	0.0019	0.0036	183.80	3.94	21.66
560	-90.00	-7.50	1.28	0.2640	0.3513	133.07	1.28	0.28
561	-82.50	-7.50	1.28	0.1314	0.2285	173.91	2.22	4.54
562	-75.00	-7.50	1.28	0.0391	0.0985	251.77	4.56	26.58
563	-65.25	-7.50	1.28	0.0066	0.0154	233.44	6.30	74.34
564	-60.00	-7.50	1.28	0.0126	0.0193	153.16	3.29	20.61
565	-57.00	-14.25	1.28	0.0350	0.0279	79.58	1.63	4.49
566	-84.75	-15.75	1.28	0.2182	0.2662	122.00	1.43	1.34
567	-90.00	-15.00	1.28	0.1624	0.2842	175.02	1.94	2.74
