-144.00	-2.25	2.25	0.79924	0.00131	0.00688	0.15835	0.16448	0.09289	0.00007	-0.00452	0.223	-0.104	0.183	3.455	3.034	3.751
-144.00	-2.25	2.33	0.80502	0.00805	0.00703	0.15761	0.15616	0.09333	0.00022	-0.00439	0.199	-0.111	0.170	3.537	3.220	3.747
-144.00	-2.25	2.40	0.81474	0.00667	0.00529	0.15918	0.15427	0.09229	0.00043	-0.00441	0.250	-0.119	0.162	3.633	3.255	3.766
-144.00	-2.25	2.55	0.82300	0.00232	0.00578	0.16083	0.14496	0.09296	0.00013	-0.00467	0.188	-0.077	0.200	3.402	3.363	3.668
-144.00	-2.25	2.63	0.81875	0.00304	0.00484	0.15887	0.14381	0.09206	-0.00002	-0.00441	0.165	-0.060	0.197	3.500	3.421	3.799
-144.00	-2.25	2.78	0.83336	0.00069	0.00501	0.15961	0.13640	0.09198	0.00018	-0.00481	0.150	-0.047	0.185	3.255	3.275	3.692
-144.00	-2.25	2.93	0.84351	0.00644	0.00372	0.15972	0.13214	0.09266	-0.00024	-0.00480	0.129	0.016	0.241	3.139	3.288	3.735
-144.00	-2.25	3.15	0.86306	0.00193	0.00305	0.16089	0.13116	0.09094	-0.00085	-0.00477	0.113	-0.009	0.265	3.117	3.316	3.676
-144.00	-2.25	3.38	0.86565	0.00470	0.00144	0.15621	0.13018	0.08971	-0.00064	-0.00465	0.110	0.053	0.241	3.181	3.170	3.621
-144.00	-2.25	3.68	0.88648	0.00001	0.00128	0.15714	0.12805	0.08952	-0.00038	-0.00467	0.073	0.031	0.232	3.040	3.194	3.758
-144.00	-2.25	4.05	0.90519	0.00000	0.00004	0.15840	0.12558	0.08971	-0.00048	-0.00446	0.023	0.076	0.194	2.997	3.135	3.849
-144.00	-2.25	4.50	0.92606	-0.00260	0.00017	0.15922	0.12713	0.08965	-0.00063	-0.00488	0.002	0.022	0.200	3.002	3.109	3.656
-144.00	-2.25	5.03	0.94022	-0.00303	0.00087	0.15637	0.12660	0.09083	-0.00088	-0.00452	0.009	0.019	0.135	2.967	3.084	3.707
-144.00	-2.25	5.70	0.96473	-0.00435	-0.00049	0.15713	0.12585	0.09088	-0.00023	-0.00475	-0.009	0.033	0.135	2.943	3.129	3.612
-144.00	-2.25	6.53	0.98679	-0.00513	-0.00170	0.15230	0.12530	0.09132	-0.00128	-0.00475	-0.026	0.011	0.122	2.978	3.023	3.578
-144.00	-2.25	7.58	1.00802	-0.00485	-0.00033	0.15133	0.12405	0.09250	-0.00087	-0.00467	-0.051	0.072	0.135	3.040	2.998	3.442
-144.00	-2.25	8.78	1.02413	-0.00457	-0.00114	0.15045	0.12388	0.09450	-0.00054	-0.00461	-0.087	0.080	0.088	3.005	3.078	3.493
-144.00	-2.25	10.28	1.04866	-0.00580	-0.00251	0.14814	0.12445	0.09740	-0.00114	-0.00478	-0.036	0.101	0.062	3.042	2.950	3.435
-144.00	-2.25	12.08	1.06555	-0.00416	-0.00208	0.14698	0.12358	0.09857	-0.00047	-0.00489	-0.090	0.036	0.062	3.091	2.954	3.318
-144.00	-2.25	14.33	1.09486	-0.00121	-0.00512	0.14447	0.12056	0.10051	-0.00090	-0.00484	-0.097	0.079	0.064	3.250	2.993	3.279
-144.00	-2.25	17.03	1.11860	-0.00381	-0.00778	0.14329	0.12145	0.10400	-0.00099	-0.00509	-0.064	0.072	0.044	3.270	2.938	3.179
-144.00	-2.25	20.40	1.15384	-0.00174	-0.01364	0.14028	0.11931	0.10473	-0.00088	-0.00492	-0.163	0.028	0.095	3.279	3.005	3.129
-144.00	-2.25	24.45	1.18163	0.00190	-0.01601	0.13852	0.11700	0.10736	-0.00057	-0.00526	-0.171	-0.007	0.135	3.155	3.066	3.040
-144.00	-2.25	29.40	1.21702	0.00173	-0.02243	0.13758	0.11462	0.10841	-0.00080	-0.00563	-0.251	0.032	0.171	2.969	3.126	3.144
-144.00	-2.25	35.48	1.25875	0.00226	-0.02723	0.13590	0.11145	0.10437	-0.00012	-0.00552	-0.378	0.065	0.287	3.061	3.139	3.146
-144.00	-2.25	42.90	1.31132	0.00244	-0.03698	0.12857	0.10582	0.10288	-0.00043	-0.00492	-0.561	0.012	0.441	3.504	3.273	3.493
-144.00	-2.25	51.90	1.36254	-0.00330	-0.04375	0.12080	0.09801	0.09529	-0.00036	-0.00443	-0.780	0.037	0.581	4.137	3.554	3.856
