ALT	PRESS	TEMP	RH	SPEED	DIR	POTT	VIRPOT	Ri
1308	868.16	19.03	23.7	1	156.8946912	304.2362434	304.8419478	
1309	868.1233333	19.02	23.70333333	1	155.5014293	304.2295058	304.8349662	
1310	867.98	19	23.69	0.7	154.5946912	304.2230466	304.8275727	-0.002408657
1311	867.85	19.03	23.69	1	158.0946912	304.2673204	304.8730521	0.016508192
1313	867.67	19.15	23.69	1.5	161.6946912	304.4103434	305.0206072	0.038380729
1314	867.6	19.195	23.68	1.8	163.0946912	304.4642329	305.0759483	0.020082252
1316	867.41	19.555	23.68	2.25	165.5302493	304.8582524	305.4834508	0.130358409
1317	867.28	20.12	23.67	3.2	167.2946912	305.4598052	306.1062741	0.02228465
1318	867.19	21.37	23.67	4.2	168.6946912	306.7708666	307.4671916	0.043647173
1319	867.14	20.64	23.68	3.8	167.9946912	306.0155478	306.6827331	-0.157550806
1320	866.96	22.22	23.61	4.4	170.6446912	307.6795642	308.4100954	0.153439523
1322	866.77	22.995	23.505	4.3	172.7365515	308.5062017	309.2675798	5.473810881
1323	866.66	23.4	23.43	4	173.4946912	308.9393192	309.7166146	0.159116301
1324	866.62	23.7	23.38	3.8	173.8946912	309.2559349	310.0453428	0.261447838
1326	866.39	23.96	23.35	3.7	174.5946912	309.5502992	310.3510314	1.942887309
1327	866.285	24.385	23.31	3.5	176.2446912	310.0038419	310.8233787	0.373654501
1329	866.08	24.84	23.25	3.45	179.0048366	310.4989243	311.3385291	13.03215552
1330	865.96	25.06	23.23	3.4	181.0946912	310.7404733	311.5902933	3.176827598
1331	865.87	25.26	23.21	3.3	182.7946912	310.9581204	311.8172317	0.715138772
1332	865.79	25.38	23.21	3.2	184.9946912	311.091387	311.9565982	0.437707801
1334	865.64	25.67	23.2	3.1	188.2946912	311.4090208	312.288701	2.084481613
1335	865.515	25.685	23.205	3.1	188.2446912	311.4375168	312.318318	
1337	865.3	25.92	23.22	3	191.0946912	311.7045727	312.5982912	1.751098622
1338	865.2	26.08	23.235	3.1	192.4946912	311.8816414	312.7843769	0.580213594
1339	865.09	26.25	23.24	3.1	193.4946912	312.0701765	312.9821609	
1340	865	26.38	23.26	3.1	194.7946912	312.2149679	313.1347318	
1341	864.93	26.46	23.27	3.2	195.7946912	312.3055843	313.2300949	0.296552654
1342	864.84	26.55	23.28	3.2	197.3946912	312.4086954	313.3385393	
1344	864.64	26.655	23.305	3.3	199.6446912	312.5388209	313.4755948	0.85114868
1345	864.49	26.85	23.33	3.4	201.8946912	312.7576218	313.7062004	0.715121431
1346	864.44	26.85	23.34	3.4	202.7946912	312.7627955	313.7118532	
1348	864.27	26.96	23.37	3.5	203.6446912	312.8950751	313.851631	0.864359185
1349	864.15	27.07	23.4	3.5	204.0946912	313.0221919	313.986227	
1350	864.06	27.11	23.42	3.6	204.5946912	313.0732233	314.0404354	0.166644959
1351	863.92	27.22666667	23.45666667	3.7	205.4613569	313.2093837	314.1848316	0.444464066
1354	863.65	27.33	23.51	3.8	206.4946912	313.3451422	314.3290307	1.329000741
1355	863.55	27.42	23.54	3.8	207.7946912	313.449376	314.4397719	
1356	863.445	27.4	23.54	3.85	207.5531331	313.4394206	314.4288398	-0.129913571
1358	863.285	27.49	23.605	3.9	208.5446912	313.5498974	314.5474279	2.882481965
1359	863.15	27.51	23.63	3.9	208.2946912	313.5847819	314.5847216	
1360	863.02	27.55	23.65	3.9	207.9946912	313.6400122	314.6432958	
1361	863	27.55	23.67	3.9	207.9946912	313.642091	314.6462538	
1362	862.85	27.6	23.69	3.9	207.5946912	313.7098385	314.7179662	
1363	862.75	27.6	23.715	3.9	207.8446912	313.7202377	314.7295838	
1365	862.57	27.64	23.75	3.9	208.0946912	313.7806872	314.7941224	
1366	862.47	27.64	23.745	3.9	208.0446912	313.791092	314.8044692	
1367	862.39	27.69	23.76	3.9	208.4946912	313.8515793	314.8686308	
1369	862.215	27.69	23.78	3.9	209.0446912	313.8697965	314.8879773	
1370	862.04	27.74	23.79	3.9	209.0946912	313.9401871	314.9619921	
1371	861.97	27.73	23.79	3.9	209.5946912	313.9370444	314.9583739	
1372	861.92	27.73	23.79	4	209.6946912	313.9422528	314.9636606	0.016973128
1373	861.74	27.78	23.8	4	210.0946912	314.01318	315.0382309	
