ALT	PRESS	TEMP	RH	SPEED	DIR	POTT	VIRPOT	Ri
1313	867.775	15.77	26.085	1.6	171.0946912	300.8798911	301.4276702	
1314	867.6746429	15.66678571	26.55392857	1.564285714	176.5129304	300.7823546	301.3365647	-2.595998001
1315	867.59375	15.62	26.6575	1.4875	176.5994237	300.7416503	301.2965032	-0.234407441
1316	867.43	16.63	25.24	3.1	163.1946912	301.8098148	302.3686074	0.013899992
1318	867.27	17.03	25.2	3.4	164.1946912	302.2423656	302.8141032	0.324789326
1320	867.09	17.735	25.105	4.1	167.2190786	302.9946591	303.5891924	0.10350111
1321	866.97	18.32	25.06	4.9	163.7609821	303.6160298	304.2308853	0.032660477
1323	866.755	19.225	25.035	5.3	155.2446912	304.5803466	305.2290533	0.40423671
1324	866.67	19.68	25.02	5.3	151.0946912	305.0628976	305.7291654	
1326	866.46	20.025	25.015	5.65	150.5460186	305.4434792	306.123671	0.207807677
1327	866.36	20.28	25.01	5.8	150.7946912	305.7192414	306.409801	0.409538565
1328	866.25	20.535	25	6.25	149.6386911	305.9960333	306.6969745	0.045634545
1329	866.12	20.76	24.99	6	145.8946912	306.24361	306.9538307	0.132148667
1331	865.99	20.8	24.98	6.1	142.6946912	306.2984377	307.0102006	0.365766949
1332	865.84	20.935	24.98	6.2	139.7946912	306.4542914	307.1719369	0.519627153
1333	865.75	20.93	24.97	6.2	137.8946912	306.4581917	307.1754351	
1334	865.67	21.215	24.97	6.35	136.1372102	306.7632967	307.4928371	0.451677381
1335	865.55	21.5	24.97	6.6	134.0946912	307.0724736	307.8145481	0.164614706
1336	865.45	21.72	24.96	6.8	132.8946912	307.3119036	308.0634949	0.199038071
1337	865.32	21.75	24.96	6.9	131.2946912	307.3563743	308.1094458	0.147858758
1338	865.23	22.08	24.96	7	128.4946912	307.7094668	308.4774391	1.172671645
1339	865.18	21.94	24.96	6.9	129.7946912	307.5686324	308.3303524	-0.467953451
1340	865.065	22.365	24.96	7.1	127.0946912	308.0233157	308.8044763	0.377153499
1341	864.94	22.53	24.96	7.2	126.5946912	308.2080365	308.996962	0.612551333
1344	864.7033333	22.74333333	24.97	7.2	126.1280239	308.4545493	309.2540305	
1345	864.58	22.87	24.97	7.2	124.8946912	308.5991826	309.40478	
1346	864.49	22.87	24.97	7.2	124.1946912	308.6083707	309.4140783	
1348	864.2566667	22.89666667	24.98	7.1	123.5946897	308.6600003	309.4675789	0.341993165
1350	864.11	22.91	24.98	7.1	125.1946912	308.6888849	309.4972755	
1351	864.005	23	24.98	7.05	125.0961096	308.7934558	309.6062541	1.384866994
1352	863.86	22.91	24.99	7	123.2946912	308.7144318	309.5234535	-1.046858368
1354	863.7	22.99	24.99	7.05	120.8989467	308.8142107	309.6272348	2.642899134
1355	863.61	22.95	24.99	7.1	119.2946912	308.7817014	309.5929318	-0.430603698
1356	863.52	22.99	24.99	7.1	119.4946912	308.8326197	309.6458665	
1357	863.34	23.02	24.99	7.1	120.1946912	308.8823214	309.697223	
1358	863.27	22.97	24.995	6.95	122.2385756	308.837337	309.6501022	-0.066200401
1359	863.18	23.02	25	7	124.3946912	308.8986952	309.7141214	0.812531892
1360	863.08	23.02	25	7.05	125.8989467	308.9089309	309.7244813	0.135545874
1361	862.93	23.02	25.01	7	127.2946912	308.924287	309.74035	0.203352644
1362	862.91	22.98	25.01	7.1	126.9946912	308.8846119	309.698788	-0.131366455
1363	862.73	23.02	25.01	7.1	126.2946912	308.9447674	309.7610789	
1365	862.595	23.04	25.02	7.1	124.6946912	308.9794586	309.7972227	
1366	862.43	22.99	25.03	7.1	121.6946912	308.9442022	309.7601035	
1367	862.39	23.06	25.03	7.1	119.1946912	309.021328	309.8406344	
1368	862.26	23.025	25.04	7.1	117.2446912	308.998137	309.8162528	
1369	862.19	23.1	25.05	7.1	115.6946912	309.0835604	309.9056966	
1370	862.1	23.12	25.075	7.1	115.2946912	309.1136557	309.9376904	
1371	861.99	23.14	25.09	7.1	116.9946912	309.1458045	309.9714375	
1372	861.85	23.18	25.11	7	118.6946912	309.2019035	310.0303101	0.185621804
1374	861.685	23.24	25.13	7.05	120.2954004	309.2814453	310.1136398	2.105092914
1375	861.565	23.315	25.17	7.05	119.2982374	309.3720306	310.2093713	
1377	861.37	23.37	25.2	7	117.5946912	309.4494572	310.2907494	2.048214629
1378	861.295	23.45	25.235	7	114.8946912	309.540654	310.3871644	
1380	861.095	23.63	25.295	7	110.2446912	309.7490811	310.6068442	
1382	860.89	23.79	25.37	7.05	106.7400811	309.9371771	310.8058351	4.968787435
1383	860.78	23.93	25.41	7.1	106.4946912	310.094637	310.971952	2.078769338
1384	860.69	24	25.44	7.1	106.5946912	310.1769792	311.0590462	
1385	860.57	24.04	25.47	7	106.6946912	310.2311038	311.1164364	0.178570986
1386	860.51	24.13	25.51	7.1	107.5446912	310.3312414	311.2227121	0.330279235
1388	860.345	24.21	25.57	7.1	107.9946912	310.4317788	311.3297493	
1389	860.175	24.39	25.64	7.1	108.0946912	310.6372473	311.5474037	
1391	860.02	24.53	25.72	7	108.2446912	310.7994284	311.7201131	1.068392261
1392	859.895	24.68	25.765	6.9	108.9946912	310.9689671	311.8995224	0.558149683
1394	859.695	24.8	25.815	6.8	109.6946912	311.1149573	312.054132	0.960861565
1396	859.51	24.97	25.865	6.85	109.7450561	311.3116301	312.2622307	5.174801993
1398	859.36	24.99	25.89	6.8	109.3946912	311.3480561	312.3009	0.958365081
1399	859.25	25.03	25.9	6.8	108.9446912	311.4012289	312.3568178	
1401	859.05	25.12	25.92	6.7	108.2946912	311.5159584	312.4775877	0.754303668
1403	858.855	25.14	25.925	6.7	108.2446912	311.5570746	312.520294	
1404	858.77	25.16	25.94	6.8	108.0946912	311.5867841	312.5518054	0.097651285
1405	858.61	25.12	25.94	6.9	108.8946912	311.5616066	312.5246276	-0.082766138
1406	858.535	25.14	25.94	6.9	109.0033872	311.5902823	312.5545322	
1407	858.47	25.2	25.94	6.8	109.9946912	311.6597063	312.6274144	0.228157247
1408	858.32	25.18	25.935	6.8	111.5446912	311.6543891	312.6210116	
1409	858.21	25.16	25.93	6.8	113.7946912	311.6449192	312.6103978	
1410	858.12	25.16	25.94	6.8	114.5946912	311.6542669	312.6202513	
1411	858.02	25.14	25.94	6.8	116.0446912	311.6437593	312.6087718	
1412	857.94	25.16	25.94	6.8	117.5946912	311.672966	312.6392175	
1414	857.74	25.18	25.935	6.8	118.6446912	311.714646	312.6821298	
1416	857.53	25.16	25.94	6.6	118.6946912	311.7155774	312.6824376	0.001530647
1417	857.46	25.14	25.935	6.6	118.1946912	311.7019558	312.6676126	
1418	857.37	25.115	25.925	6.75	118.3946912	311.6851881	312.6492068	-0.024498447
1420	857.155	25.115	25.925	6.8	118.9946912	311.7075465	312.6718838	0.588002383
1422	856.95	25.07	25.93	6.8	119.8946912	311.681839	312.6441501	
1423	856.86	25.12	25.925	6.8	119.7446912	311.7434602	312.7085148	
1424	856.77	25.12	25.93	6.8	120.4946912	311.7528256	312.7181999	
1425	856.66	25.12	25.92	6.7	120.8446912	311.7642739	312.7294392	0.037634226
1427	856.46	25.12	25.93	6.7	121.0946912	311.7850938	312.7509285	
1428	856.42	25.03	25.92	6.7	120.9946912	311.6951792	312.655671	
1429	856.2833333	25.05666667	25.92666667	6.6	121.8860943	311.7372833	312.6997126	0.138438571
1430	856.15	25.12	25.93	6.6	122.0946912	311.817377	312.7836725	
1432	855.97	25.115	25.92	6.5	123.5446912	311.8309016	312.7968118	0.088920624
1434	855.805	25.12	25.92	6.5	123.7446912	311.8533225	312.8197584	
1436	855.6	25.115	25.91	6.55	123.7939278	311.8694627	312.8355504	0.424469341
1437	855.52	25.07	25.9	6.5	124.2946912	311.8307492	312.7940641	-0.509138238
1438	855.43	25.16	25.9	6.4	123.8946912	311.9342423	312.9027353	0.340168648
1439	855.32	25.12	25.89	6.4	122.0446912	311.9038869	312.8699255	
1441	855.1	25.09	25.88333333	6.166666667	119.7946912	311.8954624	312.8598992	-0.010174304
1443	854.89	25.03	25.88	6.4	117.2946912	311.8546202	312.8158914	-0.049335286
1444	854.85	25.07	25.87	6.3	118.3946912	311.9006285	312.8638212	0.151268987
1445	854.71	25.01	25.865	6.6	116.6977215	311.8524836	312.8123491	-0.017591733
1446	854.59	24.99	25.86	6.8	118.3946912	311.8440876	312.8028311	-0.006903127
1449	854.3433333	25.00333333	25.86	6.666666667	119.4836837	311.8837825	312.8436335	0.220287405
1451	854.1533333	25.01666667	25.85333333	6.433333333	119.7615306	311.9175707	312.8781987	0.040816188
1453	853.93	24.97	25.86	6.4	121.5446912	311.8920776	312.8506835	-1.509224443
1454	853.82	24.99	25.84	6.35	123.8915415	311.9244935	312.8836339	0.426430986
1456	853.655	25.03	25.81	6.25	124.2434912	311.9835873	312.944086	0.388636416
1457	853.56	25.03	25.79	6.2	123.2946912	311.9935177	312.9534129	0.130617087
1458	853.43	24.95	25.78	6.3	124.1946912	311.9233993	312.8786672	-0.230632388
1459	853.32	24.99	25.77	6.1	126.0799359	311.9767551	312.9340356	0.043868416
1461	853.165	24.97	25.75	5.8	127.6446912	311.9720352	312.9276911	-0.00344974
1462	853.03	24.95	25.75	6	129.0946912	311.9652244	312.9199701	-0.005600438
1463	852.93	24.99	25.75	6.1	129.1946912	312.0175465	312.9746603	0.172074087
1464	852.84	24.95	25.75	6	128.3946912	311.9851002	312.940126	-0.106722078
1465	852.76	24.99	25.75	6	126.7946912	312.0353349	312.9927	
1466	852.69	24.95	25.73	6.1	124.6946912	312.0007956	312.9553008	-0.113606223
1467	852.61	24.99	25.75	6.1	125.9946912	312.0510343	313.0086214	
1468	852.53	24.95	25.72	6	121.6946912	312.0175413	312.9719115	-0.110164829
1469	852.43	24.95	25.73	5.6	118.2946912	312.0280094	312.9828982	0.002151972
1470	852.3	24.93	25.715	5.4	113.3946912	312.0206849	312.9741006	-0.006023288
1471	852.21	24.95	25.71	5.4	111.8946912	312.0510448	313.0055158	
1472	852.12	24.87	25.72	5.6	110.0946912	311.976724	312.9272715	-0.061130103
1473	852.04	24.87	25.72	5.7	109.3946912	311.9851013	312.9357663	0.027561873
1474	851.9	24.91	25.71	6	113.1721988	312.0416405	312.994353	0.020665873
1475	851.76	24.91	25.72	6.2	115.9946912	312.0563082	313.0095976	0.012062768
1476	851.71	24.86	25.72	6.2	115.3946912	312.0091986	312.9597963	
1477	851.63	24.87	25.72	6.1	115.4946912	312.0280508	312.9793187	0.062025162
1478	851.515	24.78	25.715	6.1	117.1946912	311.9458685	312.8921582	
1479	851.39	24.82	25.7	6.1	119.8946912	312.00085	312.9489723	
1480	851.35	24.78	25.71	6	123.0946912	311.9631583	312.9095055	-0.124045596
1481	851.195	24.82	25.705	6.1	126.9446912	312.0212905	312.9698835	0.191291109
1482	851.13	24.78	25.71	6	131.7946912	311.9862181	312.9328875	-0.115425438
1483	851	24.74	25.71	5.8	133.6946912	311.957959	312.9026195	-0.023253779
1484	850.97	24.74	25.69	5.7	134.7946912	311.9611043	312.9050738	0.010352806
1485	850.86	24.78	25.68	5.4	137.3946912	312.0145293	312.9604893	0.019536119
1486	850.77	24.78	25.66	5.4	139.5946912	312.0239689	312.9693239	
1487	850.625	24.74	25.66	5.4	137.1946912	311.997286	312.9406569	
1489	850.46	24.78	25.65	5.3	133.8946912	312.056493	313.0019333	0.389707942
1490	850.37	24.78	25.64	5.6	132.8946912	312.0659384	313.0111418	0.003453911
1491	850.24	24.78	25.615	6	130.1388578	312.0795839	313.0240559	0.002806769
1492	850.13	24.78	25.56	5.8	127.4946912	312.0911322	313.0337369	0.009501559
1493	850.04	24.76	25.57	5.75	127.8555608	312.0796313	313.0216403	-0.151411348
1495	849.86	24.7	25.545	5.2	127.2475758	312.0356761	312.9737482	-0.009566814
1496	849.75	24.7	25.54	5.1	129.5946912	312.0472279	312.9852763	0.038027982
1498	849.57	24.72	25.54	5.15	133.083039	312.0870897	313.0264918	1.049711939
1499	849.43	24.66	25.55	5.1	135.5946912	312.0389331	312.9756326	-0.634200583
1500	849.365	24.66	25.54	5.15	135.8937203	312.0457626	312.9821898	0.089940675
1501	849.26	24.7	25.55	5.2	136.4946912	312.0987096	313.0378384	0.697194781
