ALT	PRESS	TEMP	RH	SPEED	DIR	POTT	VIRPOT	Ri
1509	848.79	28.995	20.895	5.45	241.7616696	316.6493048	317.6334509	0.003540976
1511	848.56	29.06	20.89	5.7	246.3946912	316.7419746	317.7298907	0.096212861
1512	848.47	28.97	20.89	5.7	247.1946912	316.6572527	317.6402536	
1514	848.285	28.97	20.9	5.6	245.4946912	316.6770021	317.6607578	0.128190889
1515	848.19	28.965	20.89	5.4	239.8808162	316.6819046	317.6650554	0.003977784
1517	847.97	28.87	20.88	5.2	230.5946912	316.6058125	317.5835212	-0.123517132
1518	847.905	28.925	20.885	5.2	230.5446912	316.670411	317.6515248	
1520	847.725	28.9	20.875	5	223.1186947	316.6634306	317.6429536	-0.01132981
1521	847.65	28.88	20.87	4.8	220.3946912	316.6504756	317.6287626	-0.010514329
1522	847.55	28.875	20.835	4.55	219.5441417	316.6559183	317.6324389	0.002827103
1524	847.37	28.855	20.85	4.65	222.1549072	316.6541844	317.630569	-0.011258499
1525	847.25	28.83	20.82	5	225.7946912	316.6407967	317.6145701	-0.003548503
1526	847.16	28.79	20.82	5.3	228.7946912	316.6084739	317.5801649	-0.011662708
1528	846.98	28.88	20.8	5.7	231.4946912	316.7220941	317.6981219	0.046107217
1529	846.85	28.79	20.81	5.8	233.7946912	316.6416165	317.6133119	-0.261341013
1530	846.8	28.79	20.8	5.7	235.1946912	316.6469636	317.618268	0.017363876
1531	846.68	28.83	20.8	5.6	236.2946912	316.7017482	317.675454	0.177882675
1533	846.45	28.79	20.82	5.4	235.7946912	316.6844043	317.6571753	-0.028161082
1534	846.42	28.72	20.8	5.2	233.7100768	316.6141953	317.5822039	-0.057011923
1535	846.3	28.69	20.76	4.8	229.9113589	316.5955679	317.5602435	-0.003781893
1538	846.05	28.69	20.78	4.6	230.0946912	316.6223206	317.5883036	0.065178679
1539	845.9433333	28.72666667	20.75	4.7	232.9393809	316.6722021	317.6389724	0.162018012
1542	845.59	28.65	20.74	4.8	232.9946912	316.6296068	317.592225	-0.41516131
1543	845.5433333	28.65	20.72666667	4.8	233.3585803	316.6346045	317.5966741	
1545	845.345	28.6	20.735	4.75	233.1883752	316.6033881	317.5633995	-0.81148006
1546	845.25	28.6	20.72	4.9	231.5946912	316.6135647	317.5730244	0.014696881
1547	845.155	28.585	20.72	4.75	231.6936386	316.6080032	317.5667842	-0.008032302
1548	845.02	28.56	20.71	4.8	233.1946912	316.5962353	317.553389	-0.152975311
1549	844.96	28.65	20.7	4.6	231.6946912	316.6971073	317.6588178	0.081930279
1550	844.89	28.61	20.69	5	233.3946912	316.6626359	317.6217946	-0.00700052
1551	844.79	28.605	20.72	5.2	232.3966143	316.6681088	317.6285347	0.0044459
1552	844.71	28.52	20.72	5.4	232.6946912	316.5874826	317.5433777	-0.065514461
1555	844.405	28.61	20.715	5.55	232.7982948	316.7146432	317.6756916	0.550912853
1556	844.26	28.52	20.7	5.6	233.5946912	316.6357344	317.591381	-1.025903733
1557	844.1966667	28.56333333	20.70333333	5.6	233.5691066	316.688012	317.6462762	2.15364E+27
1559	843.99	28.47	20.69	5.7	234.1946912	316.6122161	317.5650802	-0.492797835
1560	843.895	28.495	20.68	5.4	234.1437653	316.6486527	317.6025598	0.013159915
1562	843.75	28.43	20.64	5.3	234.3946912	316.5959786	317.5447272	-0.342513877
1564	843.55	28.56	20.67	5.4	233.8946912	316.7539268	317.7114374	1.026616345
1566	843.39	28.47	20.6	5.2	234.6946912	316.6766191	317.6262323	-0.125656715
1567	843.23	28.43	20.55	5.1	234.8946912	316.6518041	317.5971873	-0.080679651
1568	843.17	28.43	20.56	5.3	234.6946912	316.6582484	317.6041807	0.005237977
1570	842.9766667	28.47333333	20.54333333	5.166666667	234.8282396	316.7245203	317.6723168	0.242365031
1572	842.77	28.43	20.5	5.6	236.4946912	316.7012252	317.6449899	-0.008066782
1574	842.6	28.405	20.52	5.45	235.9479022	316.6932431	317.6368319	-0.023070246
1576	842.41	28.34	20.45	5.1	235.0946912	316.6454026	317.5825649	-0.025402087
1577	842.3	28.36	20.46	5.35	236.0059063	316.6782351	317.6170907	0.017083445
1578	842.23	28.38	20.5	5.5	236.5946912	316.7067689	317.6486396	0.04123814
1579	842.1	28.3	20.39	4.8	232.8946912	316.6367209	317.5694534	-0.004649832
1580	842.03	28.34	20.43	5.1	234.8897953	316.6862646	317.6230698	0.017902985
1581	841.89	28.38	20.43	5.1	234.2946912	316.7433439	317.6825005	
1582	841.825	28.27	20.395	5	232.6666856	316.6347864	317.5665513	-0.353135092
1583	841.74	28.29	20.41	5	233.8946912	316.6649403	317.5985824	
1584	841.61	28.29	20.42	5	233.9946912	316.6789289	317.6132195	
1586	841.47	28.29	20.36	5.1	230.8946912	316.6939967	317.6257473	0.09802365
1587	841.38	28.29666667	20.37333333	5.066666667	230.8513975	316.7106891	317.6435375	0.488655464
1589	841.14	28.225	20.345	5.1	229.1946912	316.6612293	317.5893204	-2.89647897
1590	841.03	28.25	20.35	5.1	229.9446912	316.6993431	317.6291517	
1591	840.94	28.21	20.34	5.2	230.1946912	316.6670047	317.5943638	-0.105216875
1592	840.89	28.17333333	20.34333333	5.066666667	229.5940378	316.63386	317.5595003	-0.060667544
1593	840.76	28.16	20.36	5.2	230.6946912	316.63385	317.5597315	-1.84072E-05
1595	840.62	28.2	20.37	5.3	231.0946912	316.6909671	317.6196307	0.371687727
1597	840.44	28.16	20.37	5.5	231.8946912	316.6683252	317.5951285	-0.036840194
1598	840.3033333	28.14666667	20.39666667	5.466666667	230.2922625	316.6690411	317.5965495	0.020966342
1600	840.07	28.165	20.45	5.6	229.6446912	316.7134638	317.644716	0.162626021
1602	839.895	28.14	20.455	5.5	229.8765193	316.7060564	317.6364612	-0.048213008
1603	839.86	28.16	20.46	5.5	228.7946912	316.7308547	317.662604	
1605	839.67	28.16	20.47	5.5	227.3946912	316.7513506	317.6838346	
1606	839.5433333	28.13333333	20.48333333	5.533333333	228.8994413	316.7369835	317.6688381	-0.420811377
1610	839.18	28.16	20.5	5.4	228.0946912	316.8042359	317.7388085	0.49241265
1612	839.005	28.075	20.485	5.7	231.6754025	316.7337567	317.6633697	-0.050981167
1613	838.86	28.08666667	20.44666667	5.5	233.1092783	316.7616819	317.6903876	0.022723772
1614	838.78	28.095	20.475	5.75	232.052083	316.779085	317.7096388	0.009063141
1615	838.65	28.12	20.45	5.6	231.8946912	316.8194185	317.7503582	0.058341993
1617	838.4866667	28.04666667	20.43	5.466666667	234.7971465	316.7599458	317.6863176	-0.217807667
1620	838.24	28.03	20.44	5.4	235.5946912	316.7690718	317.6953737	0.200543612
1623	837.92	27.94	20.425	5.6	237.7473698	316.7089967	317.6303254	-0.14672755
1624	837.81	27.99	20.42	5.5	237.6946912	316.7734844	317.6973899	0.209971806
1626	837.65	27.99	20.42	5.5	236.7946912	316.7907882	317.7149273	
1627	837.52	27.99	20.43	5.5	237.0946912	316.8048507	317.7296323	
1628	837.4566667	27.92666667	20.41	5.466666667	237.8294472	316.7450735	317.6656963	-1.752079092
1629	837.38	27.9	20.4	5.4	237.5946912	316.7253119	317.6441902	-0.144816788
1631	837.16	27.99	20.43	5.6	237.4946912	316.8438077	317.7691157	0.192911101
1634	836.85	27.9	20.4	5.3	232.7946912	316.7826679	317.7023165	-0.066376861
1635	836.76	27.9	20.42	5.5	236.4946912	316.7924123	317.7130935	0.00793426
1637	836.5933333	27.9	20.40333333	5.4	234.3909778	316.8104609	317.7306332	0.117567969
1638	836.54	27.855	20.41	5.35	234.7535705	316.7688807	317.6870606	-0.541782867
1639	836.45	27.85	20.41	5.3	235.1946912	316.7733663	317.6914137	0.058446421
1640	836.335	27.77	20.4	5.45	229.3928563	316.7016277	317.6151931	-0.103889542
