Subject: Wavy Wall Data - x/lambda = 0.9, uavg
 
 y            v1avg        v1intensity  v1gamma      v1skewness   v1flatness
 
   7.620E-03    4.448E+00    1.793E+00    9.982E-01    4.111E-01    3.209E+00
   1.016E-02    4.720E+00    1.791E+00    9.993E-01    2.370E-01    2.882E+00
   1.270E-02    4.851E+00    1.848E+00    9.989E-01    3.049E-01    3.052E+00
   1.524E-02    5.203E+00    2.010E+00    9.989E-01    2.775E-01    2.944E+00
   1.778E-02    4.765E+00    1.823E+00    9.990E-01    2.948E-01    2.933E+00
   2.032E-02    5.505E+00    1.941E+00    9.994E-01    1.203E-01    2.842E+00
   2.540E-02    5.840E+00    1.957E+00    9.994E-01    9.920E-03    2.875E+00
   3.048E-02    5.899E+00    1.989E+00    9.996E-01    6.743E-02    2.922E+00
   3.556E-02    6.479E+00    2.088E+00    9.990E-01   -8.283E-02    2.955E+00
   4.318E-02    6.332E+00    1.988E+00    9.995E-01   -1.444E-01    2.930E+00
   5.080E-02    6.578E+00    1.984E+00    9.996E-01   -1.044E-01    3.152E+00
   5.842E-02    6.473E+00    1.984E+00    9.996E-01   -7.555E-02    3.136E+00
   6.604E-02    6.592E+00    1.930E+00    9.994E-01   -1.512E-01    3.191E+00
   7.366E-02    6.877E+00    1.971E+00    9.995E-01   -1.447E-01    3.197E+00
   8.128E-02    6.808E+00    1.967E+00    9.996E-01   -1.695E-01    3.255E+00
   9.144E-02    7.171E+00    1.884E+00    9.997E-01   -2.355E-01    3.422E+00
   1.016E-01    6.902E+00    1.934E+00    9.996E-01   -7.450E-02    3.320E+00
   1.118E-01    7.120E+00    1.898E+00    9.997E-01   -1.953E-01    3.456E+00
   1.219E-01    7.219E+00    1.995E+00    9.996E-01   -1.626E-01    3.282E+00
   1.321E-01    7.222E+00    1.909E+00    9.995E-01   -2.619E-01    3.515E+00
   1.422E-01    7.103E+00    1.911E+00    9.998E-01   -1.648E-01    3.411E+00
   1.524E-01    7.304E+00    1.871E+00    9.997E-01   -2.989E-01    3.506E+00
   1.651E-01    7.352E+00    1.924E+00    9.998E-01   -2.629E-01    3.411E+00
   1.778E-01    7.189E+00    2.022E+00    9.997E-01   -2.767E-01    3.243E+00
   2.032E-01    7.049E+00    1.907E+00    9.992E-01   -2.773E-01    3.552E+00
   2.286E-01    7.386E+00    1.917E+00    9.995E-01   -2.821E-01    3.539E+00
   2.540E-01    7.502E+00    1.989E+00    9.996E-01   -2.265E-01    3.375E+00
   3.175E-01    7.532E+00    2.055E+00    9.996E-01   -2.570E-01    3.192E+00
   3.810E-01    7.899E+00    1.988E+00    9.996E-01   -3.557E-01    3.557E+00
   4.572E-01    8.252E+00    1.976E+00    9.996E-01   -4.271E-01    3.613E+00
   5.664E-01    8.525E+00    1.865E+00    9.999E-01   -5.069E-01    3.968E+00
   6.680E-01    8.643E+00    1.848E+00    9.998E-01   -6.553E-01    4.489E+00
   7.696E-01    8.531E+00    1.842E+00    9.999E-01   -5.726E-01    4.327E+00
   8.712E-01    9.287E+00    1.879E+00    9.999E-01   -7.299E-01    4.668E+00
   1.019E+00    9.302E+00    1.807E+00    9.998E-01   -6.994E-01    4.730E+00
   1.110E+00    9.586E+00    1.759E+00    9.999E-01   -6.790E-01    4.725E+00
   1.201E+00    9.678E+00    1.779E+00    9.999E-01   -8.210E-01    5.089E+00
   1.295E+00    9.923E+00    1.761E+00    9.999E-01   -8.177E-01    5.000E+00
   1.387E+00    9.888E+00    1.819E+00    9.998E-01   -8.148E-01    5.026E+00
   1.478E+00    1.016E+01    1.723E+00    9.999E-01   -8.002E-01    5.108E+00
   1.570E+00    1.048E+01    1.579E+00    9.999E-01   -1.020E+00    6.447E+00
   1.664E+00    1.046E+01    1.703E+00    1.000E+00   -1.059E+00    6.274E+00
   1.755E+00    1.045E+01    1.682E+00    9.999E-01   -1.055E+00    6.232E+00
   1.847E+00    1.048E+01    1.646E+00    1.000E+00   -1.121E+00    6.533E+00
   1.938E+00    1.057E+01    1.653E+00    9.999E-01   -1.070E+00    6.504E+00
   2.029E+00    1.051E+01    1.498E+00    1.000E+00   -9.238E-01    5.944E+00
   2.123E+00    1.056E+01    1.485E+00    9.999E-01   -9.758E-01    6.539E+00
   2.215E+00    1.084E+01    1.501E+00    9.999E-01   -1.149E+00    7.788E+00
   2.306E+00    1.069E+01    1.433E+00    9.997E-01   -1.093E+00    8.866E+00
