Subject: Wavy Wall Data - x/lambda = 0.4, vavg
 
 y            v2avg        v2intensity  v2gamma      v2skewness   v2flatness
 
   5.080E-03    2.003E-02    7.156E-01    5.240E-01   -1.016E+00    1.156E+01
   1.016E-02    1.076E-01    7.028E-01    5.900E-01   -6.891E-01    8.039E+00
   1.270E-02    1.326E-01    7.168E-01    6.002E-01   -9.570E-01    1.287E+01
   1.524E-02    1.092E-01    7.185E-01    5.849E-01   -7.705E-01    8.380E+00
   1.778E-02    1.331E-01    7.868E-01    5.913E-01    3.873E+00    1.649E+02
   2.032E-02    1.238E-01    7.267E-01    5.835E-01   -6.153E-01    8.374E+00
   2.540E-02    1.308E-01    7.648E-01    5.867E-01   -5.313E-01    9.573E+00
   3.048E-02    1.723E-01    7.435E-01    6.120E-01   -4.279E-01    7.424E+00
   3.556E-02    1.658E-01    8.162E-01    5.980E-01   -7.229E-01    9.402E+00
   4.318E-02    1.496E-01    7.814E-01    5.871E-01   -5.107E-01    7.146E+00
   5.080E-02    1.599E-01    8.280E-01    5.978E-01   -6.210E-01    8.424E+00
   5.842E-02    1.785E-01    8.369E-01    6.085E-01   -3.374E-01    6.679E+00
   6.604E-02    1.671E-01    8.154E-01    6.064E-01   -5.023E-01    6.022E+00
   7.366E-02    1.121E-01    8.854E-01    5.661E-01   -4.811E-01    6.752E+00
   8.128E-02    1.357E-01    9.314E-01    5.752E-01   -4.963E-01    7.177E+00
   9.144E-02    8.596E-02    9.197E-01    5.603E-01   -3.404E-01    4.486E+00
   1.016E-01    1.252E-01    9.527E-01    5.692E-01   -3.877E-01    4.917E+00
   1.118E-01    1.124E-01    9.842E-01    5.603E-01   -4.019E-01    5.563E+00
   1.219E-01    1.218E-01    9.548E-01    5.676E-01   -2.802E-01    4.428E+00
   1.321E-01    2.800E-02    1.049E+00    5.393E-01   -5.699E-01    4.923E+00
   1.422E-01   -5.925E-03    1.040E+00    5.131E-01   -3.688E-01    4.786E+00
   1.524E-01    5.373E-02    1.062E+00    5.443E-01   -4.858E-01    5.274E+00
   1.651E-01    3.943E-02    1.089E+00    5.459E-01   -4.770E-01    4.714E+00
   1.778E-01   -7.225E-04    1.097E+00    5.197E-01   -3.310E-01    4.676E+00
   2.032E-01   -7.070E-02    1.153E+00    5.056E-01   -4.227E-01    3.989E+00
   2.286E-01   -1.048E-01    1.224E+00    4.866E-01   -3.602E-01    3.937E+00
   2.540E-01   -1.406E-01    1.281E+00    4.763E-01   -2.630E-01    3.808E+00
   3.175E-01   -2.986E-01    1.363E+00    4.315E-01   -2.297E-01    3.732E+00
   3.810E-01   -3.258E-01    1.369E+00    4.050E-01    1.387E-02    3.700E+00
   4.572E-01   -3.299E-01    1.407E+00    3.945E-01    2.975E-01    4.481E+00
   5.588E-01   -4.168E-01    1.337E+00    3.514E-01    5.031E-01    5.745E+00
   6.604E-01   -3.370E-01    1.377E+00    3.686E-01    6.904E-01    6.555E+00
   7.620E-01   -2.566E-01    1.394E+00    4.014E-01    7.280E-01    7.172E+00
   8.636E-01   -2.923E-01    1.399E+00    3.838E-01    8.007E-01    7.429E+00
   1.016E+00   -2.802E-01    1.408E+00    3.889E-01    9.025E-01    8.353E+00
   1.140E+00   -2.267E-01    1.461E+00    4.024E-01    1.037E+00    8.912E+00
   1.262E+00   -2.193E-01    1.458E+00    4.023E-01    9.781E-01    8.369E+00
   1.387E+00   -5.349E-02    1.466E+00    4.546E-01    1.030E+00    8.419E+00
   1.511E+00   -9.194E-02    1.485E+00    4.385E-01    1.392E+00    1.075E+01
   1.633E+00   -1.563E-01    1.474E+00    4.170E-01    1.443E+00    1.162E+01
   1.758E+00   -8.941E-02    1.444E+00    4.409E-01    1.382E+00    1.135E+01
   1.882E+00   -5.130E-02    1.487E+00    4.474E-01    1.537E+00    1.246E+01
   2.004E+00   -7.711E-02    1.471E+00    4.445E-01    1.417E+00    1.191E+01
   2.129E+00   -2.669E-02    1.520E+00    4.457E-01    1.810E+00    1.407E+01
   2.250E+00   -9.891E-03    1.489E+00    4.546E-01    1.995E+00    1.620E+01
   2.375E+00   -4.332E-02    1.473E+00    4.387E-01    2.072E+00    1.661E+01
   2.499E+00   -1.336E-02    1.469E+00    4.506E-01    2.794E+00    2.306E+01
   2.621E+00   -4.404E-02    1.365E+00    4.537E-01    2.493E+00    2.378E+01
   2.746E+00   -6.442E-02    1.355E+00    4.554E-01    2.292E+00    2.656E+01
