Subject: Wavy Wall Data - x/lambda = 0.4, vavg
 
 y            v2avg        v2intensity  v2gamma      v2skewness   v2flatness
 
   7.620E-03    1.148E-03    2.816E-02    5.612E-01    2.061E+00    5.315E+00
   1.016E-02    1.053E-03    3.193E-01    5.019E-01    2.529E+01    6.880E+02
   1.270E-02    9.567E-03    7.342E-01    5.274E-01   -1.003E+00    1.133E+01
   1.524E-02   -3.596E-02    7.459E-01    4.941E-01   -1.202E+00    1.234E+01
   1.778E-02    4.120E-02    1.706E+00    5.223E-01    4.077E+01    2.102E+03
   2.032E-02    5.910E-02    1.160E+00    5.463E-01    3.358E+01    1.990E+03
   2.540E-02    8.515E-02    7.304E-01    5.517E-01   -2.470E-01    1.103E+01
   3.048E-02    7.189E-02    7.306E-01    5.601E-01   -5.639E-01    9.375E+00
   3.556E-02    8.858E-02    1.242E+00    5.577E-01    4.773E+01    3.403E+03
   4.318E-02    1.471E-01    7.381E-01    5.984E-01   -5.981E-01    7.674E+00
   5.080E-02    1.648E-01    7.506E-01    5.995E-01   -3.895E-01    8.832E+00
   5.842E-02    1.198E-01    7.478E-01    5.698E-01   -2.046E-01    5.896E+00
   6.604E-02    1.482E-01    7.670E-01    5.889E-01   -3.565E-01    6.489E+00
   7.366E-02    1.003E-01    8.130E-01    5.735E-01   -5.846E-01    8.069E+00
   8.128E-02    9.543E-02    8.373E-01    5.652E-01   -2.133E+00    4.954E+01
   9.144E-02    9.894E-02    1.213E+00    5.616E-01    3.307E+01    2.093E+03
   1.016E-01    9.125E-02    8.759E-01    5.719E-01   -6.479E-01    6.072E+00
   1.118E-01    5.854E-02    8.581E-01    5.481E-01   -3.459E-01    5.577E+00
   1.219E-01    1.283E-01    9.006E-01    5.788E-01   -3.972E-01    5.547E+00
   1.321E-01    3.362E-02    9.416E-01    5.401E-01   -5.515E-01    5.478E+00
   1.422E-01    3.730E-02    9.539E-01    5.295E-01   -2.459E-01    4.830E+00
   1.524E-01   -1.719E-02    9.749E-01    5.146E-01   -5.618E-01    5.220E+00
   1.651E-01   -8.211E-03    9.978E-01    5.169E-01   -1.997E-01    4.819E+00
   1.778E-01   -5.557E-02    1.025E+00    5.041E-01   -3.883E-01    4.616E+00
   2.032E-01   -1.133E-01    1.095E+00    4.777E-01   -3.691E-01    4.931E+00
   2.286E-01   -2.096E-01    1.151E+00    4.438E-01   -1.901E-01    4.300E+00
   2.540E-01   -2.170E-01    1.190E+00    4.386E-01   -1.532E-01    4.215E+00
   3.175E-01   -3.329E-01    1.261E+00    3.831E-01    3.026E-01    5.322E+00
   3.810E-01   -3.169E-01    1.261E+00    3.818E-01    4.010E-01    5.677E+00
   4.572E-01   -2.359E-01    1.291E+00    4.046E-01    5.990E-01    6.363E+00
   5.588E-01   -4.002E-01    1.351E+00    3.551E-01    5.720E-01    6.428E+00
   6.604E-01   -3.797E-01    1.374E+00    3.658E-01    5.916E-01    6.710E+00
   7.620E-01   -2.569E-01    1.396E+00    4.056E-01    6.302E-01    6.662E+00
   8.636E-01   -2.848E-01    1.366E+00    3.975E-01    3.645E-01    5.732E+00
   1.016E+00   -2.766E-01    1.399E+00    3.959E-01    5.284E-01    6.201E+00
   1.140E+00   -2.543E-01    1.406E+00    3.955E-01    7.951E-01    7.223E+00
   1.252E+00   -1.701E-01    1.408E+00    4.232E-01    6.817E-01    7.559E+00
   1.367E+00   -1.438E-01    1.422E+00    4.318E-01    8.656E-01    8.552E+00
   1.478E+00   -1.389E-01    1.398E+00    4.317E-01    9.142E-01    9.214E+00
   1.593E+00   -1.398E-01    1.385E+00    4.275E-01    1.192E+00    1.081E+01
   1.704E+00   -1.590E-01    1.380E+00    4.185E-01    1.149E+00    1.086E+01
   1.819E+00   -1.540E-01    1.443E+00    4.123E-01    1.583E+00    1.366E+01
   1.933E+00   -1.237E-01    1.439E+00    4.193E-01    1.560E+00    1.340E+01
   2.045E+00   -1.386E-01    1.449E+00    4.142E-01    1.791E+00    1.551E+01
   2.159E+00   -1.313E-01    1.419E+00    4.144E-01    1.715E+00    1.480E+01
   2.271E+00   -7.843E-02    1.468E+00    4.388E-01    1.764E+00    1.645E+01
   2.385E+00   -4.773E-02    1.381E+00    4.544E-01    1.750E+00    1.819E+01
   2.497E+00   -8.327E-02    1.334E+00    4.436E-01    2.304E+00    2.259E+01
   2.611E+00   -6.886E-02    1.395E+00    4.455E-01    2.957E+00    2.694E+01
