Subject: Wavy Wall Data - x/lambda = 0.4, uavg
 
 y            v1avg        v1intensity  v1gamma      v1skewness   v1flatness
 
   7.620E-03   -3.163E-01    9.283E-01    3.438E-01    4.943E-01    5.719E+00
   1.016E-02   -4.423E-01    8.899E-01    2.875E-01    2.320E-01    5.024E+00
   1.270E-02   -4.826E-01    9.311E-01    2.703E-01    6.555E-01    7.547E+00
   1.524E-02   -4.398E-01    9.566E-01    2.876E-01    6.150E-01    6.336E+00
   1.778E-02   -4.360E-01    9.909E-01    3.017E-01   -9.960E-01    3.272E+01
   2.032E-02   -4.250E-01    9.619E-01    3.020E-01    5.137E-01    5.410E+00
   2.540E-02   -4.771E-01    9.943E-01    2.837E-01    4.966E-01    5.459E+00
   3.048E-02   -5.177E-01    1.019E+00    2.829E-01    2.322E-01    4.625E+00
   3.556E-02   -5.465E-01    1.035E+00    2.742E-01    4.612E-01    5.480E+00
   4.318E-02   -5.934E-01    9.863E-01    2.544E-01    4.491E-01    4.942E+00
   5.080E-02   -5.397E-01    1.064E+00    2.764E-01    4.764E-01    4.629E+00
   5.842E-02   -5.644E-01    1.055E+00    2.694E-01    5.196E-01    5.016E+00
   6.604E-02   -4.764E-01    1.108E+00    3.041E-01    3.175E-01    4.156E+00
   7.366E-02   -3.438E-01    1.147E+00    3.544E-01    4.508E-01    4.051E+00
   8.128E-02   -2.918E-01    1.132E+00    3.724E-01    4.958E-01    4.395E+00
   9.144E-02   -2.705E-01    1.170E+00    3.761E-01    4.634E-01    3.929E+00
   1.016E-01   -1.619E-01    1.223E+00    4.165E-01    5.053E-01    4.120E+00
   1.118E-01   -1.349E-01    1.214E+00    4.377E-01    4.642E-01    4.022E+00
   1.219E-01   -1.892E-01    1.179E+00    4.000E-01    5.249E-01    3.893E+00
   1.321E-01    8.210E-02    1.300E+00    4.927E-01    5.887E-01    3.925E+00
   1.422E-01    1.769E-01    1.320E+00    5.245E-01    5.652E-01    3.940E+00
   1.524E-01    2.146E-01    1.333E+00    5.284E-01    5.602E-01    3.874E+00
   1.651E-01    3.663E-01    1.384E+00    5.796E-01    7.975E-01    5.009E+00
   1.778E-01    5.327E-01    1.426E+00    6.177E-01    6.244E-01    3.783E+00
   2.032E-01    9.206E-01    1.467E+00    7.318E-01    6.998E-01    3.791E+00
   2.286E-01    1.067E+00    1.628E+00    7.398E-01    7.631E-01    3.879E+00
   2.540E-01    1.659E+00    1.820E+00    8.297E-01    6.479E-01    3.414E+00
   3.175E-01    2.598E+00    2.104E+00    9.198E-01    5.441E-01    2.974E+00
   3.810E-01    3.692E+00    2.200E+00    9.751E-01    3.147E-01    2.523E+00
   4.572E-01    4.860E+00    2.273E+00    9.944E-01    4.844E-02    2.405E+00
   5.588E-01    6.531E+00    2.131E+00    9.987E-01   -3.572E-01    2.939E+00
   6.604E-01    7.055E+00    1.990E+00    9.992E-01   -5.547E-01    3.597E+00
   7.620E-01    7.198E+00    1.882E+00    9.991E-01   -5.031E-01    3.923E+00
   8.636E-01    7.640E+00    1.832E+00    9.995E-01   -3.750E-01    3.917E+00
   1.016E+00    8.186E+00    1.853E+00    9.993E-01   -5.191E-01    4.129E+00
   1.140E+00    8.408E+00    1.828E+00    9.996E-01   -5.504E-01    4.166E+00
   1.262E+00    8.777E+00    1.803E+00    9.996E-01   -6.234E-01    4.486E+00
   1.387E+00    8.533E+00    1.890E+00    9.996E-01   -6.272E-01    4.266E+00
   1.511E+00    8.914E+00    1.763E+00    9.997E-01   -7.607E-01    5.286E+00
   1.633E+00    9.435E+00    1.718E+00    9.996E-01   -8.840E-01    6.007E+00
   1.758E+00    9.630E+00    1.681E+00    9.997E-01   -9.501E-01    6.050E+00
   1.882E+00    9.613E+00    1.728E+00    9.997E-01   -9.514E-01    5.934E+00
   2.004E+00    9.903E+00    1.680E+00    9.997E-01   -1.059E+00    6.623E+00
   2.129E+00    1.014E+01    1.717E+00    9.997E-01   -1.168E+00    6.850E+00
   2.250E+00    1.038E+01    1.672E+00    9.997E-01   -1.297E+00    7.702E+00
   2.375E+00    1.062E+01    1.574E+00    1.000E+00   -1.425E+00    8.538E+00
   2.499E+00    1.065E+01    1.551E+00    9.997E-01   -1.656E+00    1.039E+01
   2.621E+00    1.055E+01    1.490E+00    9.997E-01   -1.519E+00    1.016E+01
   2.746E+00    1.041E+01    1.549E+00    9.989E-01   -1.680E+00    1.155E+01
