Subject: Wavy Wall Data - x/lambda = 0.2, vavg
 
 y            v2avg        v2intensity  v2gamma      v2skewness   v2flatness
 
   7.620E-03   -9.169E-02    8.397E-01    4.899E-01   -3.011E+00    2.619E+01
   1.016E-02   -1.037E-02    7.537E-01    5.229E-01   -1.685E+00    1.113E+01
   1.270E-02   -3.150E-02    7.192E-01    5.199E-01   -1.248E+00    9.918E+00
   1.524E-02   -5.473E-02    7.506E-01    4.905E-01   -9.897E-01    1.021E+01
   1.778E-02   -8.531E-04    7.314E-01    5.064E-01   -1.141E+00    1.190E+01
   2.032E-02    4.128E-04    7.537E-01    5.211E-01   -8.192E-01    1.048E+01
   2.540E-02   -1.597E-02    8.375E-01    5.148E-01   -8.488E+00    2.089E+02
   3.048E-02    1.393E-02    1.018E+00    5.184E-01    3.644E+01    4.328E+03
   3.556E-02   -1.978E-02    7.594E-01    5.236E-01   -1.738E+00    1.652E+01
   4.318E-02    5.714E-03    7.655E-01    5.153E-01   -1.231E+00    1.061E+01
   5.080E-02    1.342E-03    8.665E-01    5.315E-01   -6.837E+00    1.586E+02
   5.842E-02    4.019E-03    7.517E-01    5.224E-01   -1.934E-01    6.944E+00
   6.604E-02   -7.590E-03    7.613E-01    5.231E-01   -6.917E-01    7.066E+00
   7.366E-02    2.522E-03    8.271E-01    5.163E-01   -7.510E-01    9.708E+00
   8.128E-02   -1.471E-02    8.238E-01    5.083E-01   -4.852E-01    6.364E+00
   9.144E-02   -1.909E-02    8.312E-01    5.113E-01   -3.731E-01    5.661E+00
   1.016E-01   -2.943E-03    9.221E-01    5.155E-01   -2.919E-01    6.457E+00
   1.118E-01   -6.754E-02    1.011E+00    4.821E-01   -1.561E-01    5.138E+00
   1.219E-01   -7.790E-02    1.027E+00    4.761E-01   -3.073E-02    5.277E+00
   1.321E-01   -6.375E-02    1.106E+00    4.815E-01   -5.335E-02    5.425E+00
   1.422E-01   -7.121E-02    1.102E+00    4.641E-01    2.402E-01    4.915E+00
   1.524E-01   -1.753E-01    1.217E+00    4.185E-01    3.407E-01    6.068E+00
   1.651E-01   -1.545E-01    1.243E+00    4.356E-01    3.322E-01    6.242E+00
   1.778E-01   -1.715E-01    1.298E+00    4.179E-01    6.155E-01    6.870E+00
   2.032E-01   -1.676E-01    1.308E+00    4.118E-01    6.552E-01    6.479E+00
   2.286E-01   -2.040E-01    1.375E+00    3.999E-01    7.080E-01    8.653E+00
   2.540E-01   -1.753E-01    1.406E+00    4.166E-01    7.367E-01    7.814E+00
   3.175E-01   -1.694E-01    1.441E+00    4.165E-01    9.479E-01    8.189E+00
   3.810E-01   -1.706E-01    1.501E+00    4.213E-01    8.131E-01    7.156E+00
   4.572E-01   -1.898E-01    1.538E+00    4.168E-01    8.215E-01    7.301E+00
   5.588E-01   -1.193E-01    1.596E+00    4.391E-01    8.061E-01    7.441E+00
   6.604E-01   -1.509E-01    1.593E+00    4.251E-01    8.184E-01    7.254E+00
   7.696E-01   -1.618E-01    1.617E+00    4.225E-01    1.055E+00    8.252E+00
   8.712E-01   -1.200E-01    1.539E+00    4.313E-01    9.689E-01    8.580E+00
   1.024E+00   -9.494E-02    1.603E+00    4.375E-01    1.127E+00    9.802E+00
   1.125E+00   -1.333E-01    1.586E+00    4.227E-01    1.112E+00    9.581E+00
   1.229E+00   -5.587E-02    1.580E+00    4.460E-01    1.406E+00    1.081E+01
   1.331E+00   -9.685E-02    1.582E+00    4.316E-01    1.515E+00    1.265E+01
   1.433E+00    5.021E-05    1.592E+00    4.591E-01    1.415E+00    1.143E+01
   1.537E+00   -3.210E-02    1.577E+00    4.540E-01    1.433E+00    1.179E+01
   1.638E+00   -3.915E-02    1.630E+00    4.416E-01    1.618E+00    1.374E+01
   1.742E+00    4.459E-02    1.611E+00    4.678E-01    1.890E+00    1.478E+01
   1.844E+00   -7.418E-02    1.576E+00    4.332E-01    1.579E+00    1.498E+01
   1.946E+00   -2.222E-02    1.630E+00    4.422E-01    1.981E+00    1.633E+01
   2.050E+00   -2.707E-02    1.647E+00    4.343E-01    2.162E+00    1.802E+01
   2.151E+00   -4.885E-02    1.560E+00    4.382E-01    2.256E+00    1.965E+01
   2.253E+00   -1.289E-02    1.537E+00    4.490E-01    1.976E+00    1.941E+01
   2.357E+00    1.209E-02    1.669E+00    4.554E-01    2.234E+00    1.953E+01
   2.459E+00   -1.114E-01    1.605E+00    4.373E-01    1.567E+00    1.891E+01
