Subject: Wavy Wall Data - x/lambda = 0.6, vavg
 
 y            v2avg        v2intensity  v2gamma      v2skewness   v2flatness
 
   7.620E-03    8.146E-02    7.997E-01    5.473E-01   -1.183E+00    3.049E+01
   1.016E-02    6.419E-02    7.990E-01    5.415E-01   -2.914E-01    6.866E+00
   1.270E-02    1.252E-01    7.936E-01    5.773E-01   -3.047E-01    6.779E+00
   1.524E-02    7.582E-02    8.354E-01    5.445E-01   -2.496E-01    6.390E+00
   1.778E-02    9.933E-02    8.210E-01    5.485E-01    1.662E-02    5.332E+00
   2.032E-02    9.731E-02    8.159E-01    5.481E-01    5.280E-02    5.567E+00
   2.540E-02    1.110E-01    8.515E-01    5.599E-01   -1.581E-01    5.336E+00
   3.048E-02    5.815E-02    8.861E-01    5.298E-01   -1.073E-01    5.440E+00
   3.556E-02    1.223E-01    8.901E-01    5.684E-01   -1.633E-01    5.347E+00
   4.318E-02    1.230E-01    9.013E-01    5.721E-01   -2.482E-01    5.562E+00
   5.080E-02    1.041E-01    9.631E-01    5.638E-01   -2.123E-01    4.663E+00
   5.842E-02    1.042E-01    9.701E-01    5.554E-01    4.481E-02    5.866E+00
   6.604E-02    1.052E-01    1.015E+00    5.536E-01   -1.599E-01    4.370E+00
   7.366E-02    1.253E-01    1.010E+00    5.605E-01   -9.283E-02    4.597E+00
   8.128E-02    2.156E-01    1.057E+00    5.963E-01   -2.485E-01    4.649E+00
   9.144E-02    1.542E-01    1.134E+00    5.675E-01   -1.495E-01    4.179E+00
   1.016E-01    7.179E-02    1.142E+00    5.393E-01   -2.182E-01    3.844E+00
   1.118E-01    6.239E-02    1.235E+00    5.344E-01   -2.374E-01    3.806E+00
   1.219E-01    7.600E-02    1.220E+00    5.346E-01   -2.013E-01    3.655E+00
   1.321E-01    5.976E-02    1.266E+00    5.237E-01   -6.351E-02    3.403E+00
   1.422E-01    5.012E-02    1.315E+00    5.244E-01   -1.092E-01    3.668E+00
   1.524E-01    1.197E-01    1.338E+00    5.368E-01   -4.443E-02    3.293E+00
   1.651E-01    3.001E-02    1.306E+00    5.172E-01   -8.097E-02    3.554E+00
   1.778E-01    1.611E-02    1.352E+00    5.061E-01   -1.189E-02    3.533E+00
   2.032E-01   -7.083E-02    1.417E+00    4.812E-01    4.235E-02    3.284E+00
   2.286E-01   -6.108E-02    1.492E+00    4.833E-01    2.783E-02    3.342E+00
   2.540E-01   -1.236E-01    1.487E+00    4.641E-01    9.363E-02    3.602E+00
   3.175E-01   -1.328E-01    1.519E+00    4.592E-01    9.466E-02    3.701E+00
   3.810E-01   -1.292E-01    1.517E+00    4.390E-01    3.472E-01    3.806E+00
   4.572E-01   -9.155E-02    1.507E+00    4.481E-01    5.261E-01    4.792E+00
   5.588E-01   -7.707E-02    1.475E+00    4.534E-01    5.907E-01    5.562E+00
   6.604E-01   -7.380E-02    1.461E+00    4.549E-01    7.727E-01    6.570E+00
   7.620E-01   -5.963E-02    1.432E+00    4.598E-01    7.915E-01    7.035E+00
   8.636E-01   -5.557E-02    1.433E+00    4.577E-01    8.719E-01    7.652E+00
   1.026E+00   -4.931E-02    1.448E+00    4.551E-01    1.151E+00    9.171E+00
   1.212E+00    1.472E-02    1.475E+00    4.805E-01    1.063E+00    9.236E+00
   1.326E+00   -3.728E-02    1.467E+00    4.585E-01    1.270E+00    9.780E+00
   1.440E+00    1.660E-02    1.463E+00    4.789E-01    1.187E+00    9.482E+00
   1.554E+00   -4.031E-02    1.495E+00    4.565E-01    1.483E+00    1.101E+01
   1.669E+00    2.506E-02    1.465E+00    4.777E-01    1.440E+00    1.127E+01
   1.783E+00   -5.626E-02    1.473E+00    4.470E-01    1.547E+00    1.194E+01
   1.897E+00   -2.121E-02    1.482E+00    4.531E-01    1.749E+00    1.398E+01
   2.009E+00   -8.068E-02    1.430E+00    4.338E-01    1.873E+00    1.453E+01
   2.123E+00   -2.312E-02    1.466E+00    4.503E-01    1.781E+00    1.520E+01
   2.238E+00    2.507E-02    1.505E+00    4.653E-01    2.084E+00    1.629E+01
   2.352E+00   -4.185E-02    1.495E+00    4.433E-01    2.027E+00    1.620E+01
   2.466E+00   -4.980E-02    1.359E+00    4.481E-01    2.164E+00    2.058E+01
   2.581E+00   -1.006E-01    1.300E+00    4.343E-01    2.404E+00    2.513E+01
   2.695E+00   -1.661E-01    1.303E+00    4.187E-01    1.229E+00    2.103E+01
