Subject: Wavy Wall Data - x/lambda = 0.7, uavg
 
 y            v1avg        v1intensity  v1gamma      v1skewness   v1flatness
 
   7.620E-03    2.337E+00    1.440E+00    9.840E-01    8.368E-01    3.725E+00
   1.016E-02    2.540E+00    1.514E+00    9.813E-01    5.823E-01    3.174E+00
   1.270E-02    2.654E+00    1.570E+00    9.859E-01    6.818E-01    3.351E+00
   1.524E-02    2.623E+00    1.468E+00    9.896E-01    6.402E-01    3.266E+00
   1.778E-02    2.861E+00    1.644E+00    9.896E-01    6.035E-01    3.044E+00
   2.032E-02    2.787E+00    1.558E+00    9.913E-01    5.923E-01    3.062E+00
   2.540E-02    2.934E+00    1.646E+00    9.851E-01    4.475E-01    2.879E+00
   3.048E-02    3.108E+00    1.698E+00    9.886E-01    4.497E-01    2.826E+00
   3.556E-02    3.058E+00    1.594E+00    9.905E-01    4.682E-01    3.004E+00
   4.318E-02    3.203E+00    1.699E+00    9.876E-01    4.037E-01    2.900E+00
   5.080E-02    3.308E+00    1.676E+00    9.944E-01    3.605E-01    2.776E+00
   5.842E-02    3.537E+00    1.723E+00    9.935E-01    3.183E-01    2.733E+00
   6.604E-02    3.335E+00    1.704E+00    9.929E-01    4.720E-01    3.001E+00
   7.366E-02    3.582E+00    1.755E+00    9.956E-01    4.396E-01    2.924E+00
   8.128E-02    3.764E+00    1.829E+00    9.958E-01    3.516E-01    2.674E+00
   9.144E-02    3.886E+00    1.828E+00    9.954E-01    2.509E-01    2.641E+00
   1.016E-01    3.920E+00    1.808E+00    9.957E-01    2.384E-01    2.630E+00
   1.118E-01    3.978E+00    1.817E+00    9.961E-01    2.439E-01    2.708E+00
   1.219E-01    3.988E+00    1.785E+00    9.967E-01    2.181E-01    2.714E+00
   1.321E-01    4.112E+00    1.884E+00    9.978E-01    4.242E-01    2.841E+00
   1.422E-01    4.180E+00    1.854E+00    9.978E-01    2.557E-01    2.656E+00
   1.524E-01    4.307E+00    1.977E+00    9.961E-01    2.587E-01    2.651E+00
   1.651E-01    4.493E+00    1.941E+00    9.980E-01    2.087E-01    2.561E+00
   1.778E-01    4.718E+00    2.047E+00    9.979E-01    1.580E-01    2.553E+00
   2.032E-01    4.483E+00    2.084E+00    9.974E-01    2.163E-01    2.408E+00
   2.286E-01    4.590E+00    1.994E+00    9.975E-01    1.377E-01    2.599E+00
   2.540E-01    5.211E+00    2.079E+00    9.987E-01    5.497E-03    2.621E+00
   3.175E-01    5.612E+00    2.211E+00    9.986E-01   -4.616E-02    2.554E+00
   3.810E-01    5.812E+00    2.263E+00    9.989E-01   -9.678E-02    2.513E+00
   4.572E-01    6.575E+00    2.198E+00    9.994E-01   -3.263E-01    2.870E+00
   5.588E-01    7.197E+00    2.046E+00    9.994E-01   -5.109E-01    3.350E+00
   6.604E-01    7.816E+00    1.908E+00    9.996E-01   -5.114E-01    3.821E+00
   7.569E-01    8.127E+00    1.841E+00    9.998E-01   -6.062E-01    4.099E+00
   8.712E-01    8.446E+00    1.769E+00    9.998E-01   -4.836E-01    4.201E+00
   1.024E+00    8.935E+00    1.785E+00    9.998E-01   -5.644E-01    4.046E+00
   1.130E+00    8.969E+00    1.748E+00    9.997E-01   -6.523E-01    4.705E+00
   1.240E+00    9.282E+00    1.766E+00    9.999E-01   -5.865E-01    4.375E+00
   1.346E+00    9.617E+00    1.668E+00    9.999E-01   -6.535E-01    4.735E+00
   1.455E+00    9.794E+00    1.638E+00    9.999E-01   -7.801E-01    5.370E+00
   1.562E+00    9.666E+00    1.690E+00    1.000E+00   -8.334E-01    5.260E+00
   1.671E+00    1.015E+01    1.624E+00    9.999E-01   -1.026E+00    6.107E+00
   1.778E+00    1.017E+01    1.640E+00    9.998E-01   -9.031E-01    5.926E+00
   1.885E+00    1.032E+01    1.572E+00    9.999E-01   -9.421E-01    6.157E+00
   1.994E+00    1.069E+01    1.567E+00    9.999E-01   -1.182E+00    7.356E+00
   2.101E+00    1.079E+01    1.490E+00    1.000E+00   -1.209E+00    7.786E+00
   2.210E+00    1.074E+01    1.550E+00    9.999E-01   -1.327E+00    8.196E+00
   2.316E+00    1.085E+01    1.398E+00    1.000E+00   -1.231E+00    8.457E+00
   2.426E+00    1.078E+01    1.451E+00    9.998E-01   -1.132E+00    8.294E+00
   2.532E+00    1.069E+01    1.520E+00    1.000E+00   -1.613E+00    1.116E+01
