Subject: Wavy Wall Data - x/lambda = 0.3, uavg
 
 y            v1avg        v1intensity  v1gamma      v1skewness   v1flatness
 
   7.620E-03    1.377E-02    3.369E+01    5.662E-01    2.063E+00    5.325E+00
   1.016E-02    1.792E-02    3.783E+00    4.910E-01    2.562E+01    6.978E+02
   1.270E-02    4.135E-02    8.138E-01    4.810E-01    1.199E+00    8.129E+00
   1.524E-02   -8.163E-03    8.222E-01    4.753E-01    8.499E-01    6.896E+00
   1.778E-02    1.743E-02    2.024E+00    4.752E-01    4.182E+01    2.159E+03
   2.032E-02   -3.786E-02    1.327E+00    4.525E-01    3.630E+01    2.169E+03
   2.540E-02   -6.788E-02    8.745E-01    4.525E-01    8.089E-01    6.521E+00
   3.048E-02   -6.094E-02    8.565E-01    4.575E-01    4.474E-01    5.445E+00
   3.556E-02   -1.174E-01    1.467E+00    4.192E-01    4.828E+01    3.438E+03
   4.318E-02   -2.187E-01    9.085E-01    3.785E-01    5.175E-01    5.026E+00
   5.080E-02   -2.189E-01    8.623E-01    3.848E-01    5.318E-01    5.887E+00
   5.842E-02   -1.135E-01    8.943E-01    4.277E-01    4.824E-01    4.916E+00
   6.604E-02   -9.666E-02    9.401E-01    4.270E-01    7.673E-01    5.874E+00
   7.366E-02   -5.092E-03    9.779E-01    4.834E-01    7.291E-01    5.784E+00
   8.128E-02   -2.571E-02    1.003E+00    4.606E-01   -1.309E+00    5.401E+01
   9.144E-02    7.918E-02    1.555E+00    4.985E-01    3.636E+01    2.341E+03
   1.016E-01    1.018E-01    1.085E+00    5.064E-01    7.277E-01    4.750E+00
   1.118E-01    2.306E-01    1.126E+00    5.564E-01    6.714E-01    4.207E+00
   1.219E-01    1.598E-01    1.113E+00    5.447E-01    6.180E-01    4.649E+00
   1.321E-01    5.547E-01    1.282E+00    6.591E-01    9.327E-01    5.168E+00
   1.422E-01    6.807E-01    1.369E+00    6.873E-01    8.579E-01    4.732E+00
   1.524E-01    9.295E-01    1.445E+00    7.349E-01    8.268E-01    4.089E+00
   1.651E-01    9.694E-01    1.476E+00    7.447E-01    1.012E+00    4.996E+00
   1.778E-01    1.412E+00    1.694E+00    8.095E-01    9.309E-01    4.171E+00
   2.032E-01    2.046E+00    1.785E+00    9.022E-01    6.039E-01    3.303E+00
   2.286E-01    2.755E+00    2.043E+00    9.449E-01    6.064E-01    2.972E+00
   2.540E-01    3.214E+00    2.075E+00    9.625E-01    3.903E-01    2.735E+00
   3.175E-01    5.040E+00    2.353E+00    9.910E-01   -5.518E-02    2.451E+00
   3.810E-01    5.850E+00    2.349E+00    9.956E-01   -2.578E-01    2.726E+00
   4.572E-01    6.484E+00    2.056E+00    9.992E-01   -2.677E-01    2.995E+00
   5.588E-01    7.674E+00    1.839E+00    9.991E-01   -4.143E-01    3.826E+00
   6.604E-01    7.747E+00    1.822E+00    9.993E-01   -4.157E-01    3.766E+00
   7.620E-01    8.024E+00    1.888E+00    9.995E-01   -3.499E-01    3.504E+00
   8.636E-01    7.998E+00    1.840E+00    9.995E-01   -2.482E-01    3.667E+00
   1.016E+00    8.468E+00    1.850E+00    9.994E-01   -4.513E-01    3.881E+00
   1.140E+00    8.841E+00    1.763E+00    9.995E-01   -5.788E-01    4.254E+00
   1.252E+00    8.898E+00    1.800E+00    9.995E-01   -5.574E-01    4.377E+00
   1.367E+00    9.181E+00    1.792E+00    9.994E-01   -6.189E-01    4.735E+00
   1.478E+00    9.398E+00    1.723E+00    9.996E-01   -7.551E-01    5.231E+00
   1.593E+00    9.507E+00    1.666E+00    9.998E-01   -7.726E-01    5.301E+00
   1.704E+00    9.906E+00    1.669E+00    9.998E-01   -8.887E-01    5.658E+00
   1.819E+00    1.022E+01    1.642E+00    9.998E-01   -1.034E+00    6.602E+00
   1.933E+00    1.015E+01    1.659E+00    9.998E-01   -1.039E+00    6.573E+00
   2.045E+00    1.045E+01    1.603E+00    9.997E-01   -1.317E+00    7.974E+00
   2.159E+00    1.041E+01    1.607E+00    9.998E-01   -1.224E+00    7.425E+00
   2.271E+00    1.051E+01    1.625E+00    9.997E-01   -1.399E+00    8.388E+00
   2.385E+00    1.055E+01    1.576E+00    9.995E-01   -1.356E+00    8.856E+00
   2.497E+00    1.064E+01    1.482E+00    9.996E-01   -1.458E+00    1.024E+01
   2.611E+00    1.054E+01    1.502E+00    9.997E-01   -1.662E+00    1.126E+01
