Subject: Wavy Wall Data - x/lambda = 0.5, uavg
 
 y            v1avg        v1intensity  v1gamma      v1skewness   v1flatness
 
   7.620E-03    2.113E-02    7.767E-01    5.018E-01    7.418E-01    8.480E+00
   1.016E-02   -2.632E-02    8.281E-01    4.829E-01    7.810E-01    7.804E+00
   1.270E-02   -5.293E-02    7.943E-01    4.632E-01    5.353E-01    6.122E+00
   1.524E-02   -8.563E-06    8.056E-01    4.916E-01    5.387E-01    7.112E+00
   1.778E-02   -1.060E-02    8.344E-01    4.865E-01    6.190E-01    6.805E+00
   2.032E-02   -6.994E-02    8.504E-01    4.552E-01    5.780E-01    6.702E+00
   2.540E-02   -3.901E-02    8.572E-01    4.770E-01    4.679E-01    6.845E+00
   3.048E-02   -8.072E-02    9.252E-01    4.474E-01    5.642E-01    6.019E+00
   3.556E-02   -1.489E-01    9.905E-01    4.357E-01   -2.050E-02    5.000E+00
   4.318E-02   -1.962E-01    1.016E+00    4.165E-01    3.474E-01    5.627E+00
   5.080E-02   -1.303E-01    1.119E+00    4.433E-01    3.712E-01    4.373E+00
   5.842E-02   -1.936E-01    1.161E+00    4.237E-01    3.836E-01    5.161E+00
   6.604E-02   -1.721E-01    1.148E+00    4.199E-01    2.494E-01    4.521E+00
   7.366E-02   -4.686E-02    1.169E+00    4.637E-01    5.679E-01    4.864E+00
   8.128E-02    4.956E-02    1.239E+00    4.968E-01    6.633E-01    4.815E+00
   9.144E-02   -5.266E-02    1.270E+00    4.635E-01    4.655E-01    4.501E+00
   1.016E-01    4.780E-02    1.285E+00    5.040E-01    3.462E-01    4.243E+00
   1.118E-01    3.182E-01    1.386E+00    5.752E-01    5.065E-01    4.106E+00
   1.219E-01    3.119E-01    1.361E+00    5.679E-01    5.349E-01    3.976E+00
   1.321E-01    5.328E-01    1.380E+00    6.402E-01    4.521E-01    3.876E+00
   1.422E-01    4.167E-01    1.344E+00    6.042E-01    5.534E-01    4.000E+00
   1.524E-01    8.224E-01    1.521E+00    6.937E-01    7.186E-01    3.897E+00
   1.651E-01    9.292E-01    1.674E+00    7.001E-01    8.141E-01    4.231E+00
   1.778E-01    9.894E-01    1.673E+00    7.096E-01    5.739E-01    3.467E+00
   2.032E-01    1.246E+00    1.584E+00    7.886E-01    5.729E-01    3.331E+00
   2.286E-01    1.318E+00    1.745E+00    7.669E-01    7.635E-01    3.555E+00
   2.540E-01    1.533E+00    1.715E+00    8.196E-01    6.648E-01    3.321E+00
   3.175E-01    2.136E+00    1.936E+00    8.781E-01    5.200E-01    2.980E+00
   3.810E-01    3.262E+00    2.195E+00    9.527E-01    2.985E-01    2.438E+00
   4.572E-01    3.910E+00    2.413E+00    9.663E-01    1.396E-01    2.235E+00
   5.588E-01    5.315E+00    2.310E+00    9.934E-01   -2.083E-01    2.519E+00
   6.604E-01    6.286E+00    2.143E+00    9.978E-01   -4.857E-01    3.129E+00
   7.620E-01    6.730E+00    1.906E+00    9.992E-01   -4.598E-01    3.452E+00
   8.636E-01    7.107E+00    1.862E+00    9.989E-01   -4.043E-01    3.761E+00
   1.016E+00    7.620E+00    1.911E+00    9.994E-01   -4.557E-01    3.820E+00
   1.143E+00    7.744E+00    1.809E+00    9.995E-01   -5.798E-01    4.228E+00
   1.270E+00    8.290E+00    1.861E+00    9.994E-01   -5.900E-01    4.288E+00
   1.394E+00    8.637E+00    1.770E+00    9.996E-01   -6.677E-01    5.028E+00
   1.521E+00    8.998E+00    1.823E+00    9.997E-01   -7.053E-01    4.634E+00
   1.648E+00    9.029E+00    1.783E+00    9.999E-01   -8.124E-01    5.323E+00
   1.775E+00    9.372E+00    1.741E+00    9.998E-01   -9.732E-01    5.913E+00
   1.902E+00    9.647E+00    1.664E+00    9.997E-01   -1.012E+00    6.275E+00
   2.027E+00    9.857E+00    1.695E+00    9.998E-01   -1.047E+00    6.498E+00
   2.154E+00    1.017E+01    1.615E+00    9.999E-01   -1.125E+00    7.284E+00
   2.281E+00    1.023E+01    1.686E+00    9.995E-01   -1.382E+00    8.004E+00
   2.408E+00    1.035E+01    1.685E+00    9.998E-01   -1.339E+00    8.008E+00
   2.532E+00    1.056E+01    1.557E+00    9.998E-01   -1.438E+00    9.237E+00
   2.659E+00    1.051E+01    1.468E+00    9.997E-01   -1.259E+00    9.197E+00
   2.786E+00    1.039E+01    1.475E+00    1.000E+00   -1.165E+00    8.292E+00
