Subject: Wavy Wall Data - x/lambda = 0.8, vavg
 
 y            v2avg        v2intensity  v2gamma      v2skewness   v2flatness
 
   7.620E-03    8.867E-01    9.334E-01    8.510E-01    7.602E-02    5.752E+00
   1.016E-02    9.258E-01    9.683E-01    8.479E-01    2.195E-01    5.401E+00
   1.270E-02    9.668E-01    9.790E-01    8.628E-01    2.994E-01    5.656E+00
   1.524E-02    9.372E-01    9.798E-01    8.521E-01    2.777E-01    5.618E+00
   1.778E-02    9.396E-01    1.002E+00    8.492E-01    2.408E-01    5.792E+00
   2.032E-02    9.474E-01    1.032E+00    8.447E-01    4.447E-01    6.093E+00
   2.540E-02    9.594E-01    1.077E+00    8.393E-01    3.377E-01    5.694E+00
   3.048E-02    9.473E-01    1.062E+00    8.314E-01    2.980E-01    5.040E+00
   3.556E-02    9.249E-01    1.102E+00    8.242E-01    2.316E-01    5.392E+00
   4.318E-02    9.672E-01    1.126E+00    8.229E-01    3.620E-01    5.195E+00
   5.080E-02    9.565E-01    1.161E+00    8.117E-01    2.008E-01    5.680E+00
   5.842E-02    8.942E-01    1.215E+00    7.883E-01    2.410E-01    4.863E+00
   6.604E-02    9.309E-01    1.214E+00    8.010E-01    1.089E-01    5.100E+00
   7.366E-02    9.613E-01    1.202E+00    8.075E-01    8.582E-02    4.605E+00
   8.128E-02    8.796E-01    1.257E+00    7.721E-01    1.604E-01    4.468E+00
   9.144E-02    8.753E-01    1.319E+00    7.648E-01    1.060E-01    4.267E+00
   1.016E-01    8.287E-01    1.330E+00    7.451E-01    1.745E-01    4.310E+00
   1.118E-01    8.556E-01    1.350E+00    7.527E-01    1.808E-01    4.131E+00
   1.219E-01    8.071E-01    1.348E+00    7.322E-01    3.791E-02    3.838E+00
   1.321E-01    8.016E-01    1.371E+00    7.315E-01    6.565E-02    4.090E+00
   1.422E-01    8.343E-01    1.447E+00    7.218E-01    6.047E-02    3.516E+00
   1.524E-01    7.686E-01    1.435E+00    7.118E-01    8.697E-02    3.774E+00
   1.651E-01    7.292E-01    1.462E+00    6.974E-01    4.557E-02    3.598E+00
   1.778E-01    6.580E-01    1.464E+00    6.776E-01    1.815E-01    3.832E+00
   2.032E-01    6.561E-01    1.474E+00    6.734E-01    1.427E-01    3.741E+00
   2.286E-01    6.397E-01    1.526E+00    6.617E-01    1.361E-01    3.617E+00
   2.540E-01    5.331E-01    1.517E+00    6.302E-01    3.227E-01    3.939E+00
   3.175E-01    4.871E-01    1.583E+00    6.104E-01    4.540E-01    4.129E+00
   3.810E-01    5.286E-01    1.543E+00    6.249E-01    5.100E-01    4.791E+00
   4.572E-01    4.485E-01    1.485E+00    6.130E-01    5.373E-01    5.395E+00
   5.588E-01    4.115E-01    1.469E+00    6.003E-01    7.222E-01    6.186E+00
   6.604E-01    2.955E-01    1.447E+00    5.706E-01    8.356E-01    6.969E+00
   7.569E-01    2.448E-01    1.462E+00    5.505E-01    8.675E-01    6.858E+00
   8.712E-01    3.258E-01    1.467E+00    5.764E-01    9.352E-01    7.332E+00
   1.024E+00    2.201E-01    1.445E+00    5.394E-01    9.783E-01    7.635E+00
   1.130E+00    1.768E-01    1.465E+00    5.258E-01    1.161E+00    9.456E+00
   1.240E+00    1.582E-01    1.428E+00    5.202E-01    1.159E+00    8.460E+00
   1.346E+00    1.222E-01    1.449E+00    5.017E-01    1.171E+00    9.024E+00
   1.455E+00    1.284E-01    1.446E+00    5.009E-01    1.374E+00    1.001E+01
   1.562E+00    1.744E-01    1.469E+00    5.142E-01    1.414E+00    1.056E+01
   1.671E+00    5.305E-02    1.442E+00    4.744E-01    1.425E+00    1.111E+01
   1.778E+00    4.400E-02    1.472E+00    4.702E-01    1.545E+00    1.239E+01
   1.885E+00    4.614E-02    1.443E+00    4.721E-01    1.600E+00    1.257E+01
   1.994E+00    4.482E-02    1.460E+00    4.662E-01    1.907E+00    1.488E+01
   2.101E+00   -1.202E-02    1.407E+00    4.488E-01    2.026E+00    1.691E+01
   2.210E+00    1.309E-02    1.432E+00    4.565E-01    2.110E+00    1.679E+01
   2.316E+00   -3.592E-02    1.313E+00    4.456E-01    1.987E+00    1.801E+01
   2.426E+00   -4.206E-02    1.311E+00    4.461E-01    2.212E+00    1.985E+01
   2.532E+00   -1.284E-01    1.462E+00    4.219E-01    3.512E+00    2.976E+01
