    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    2600       44951.9    47.4337   1.701E+01   0.9434   0.2000   1.893E-16   2.27511762E+00   2.50979217E+00
    2650       45787.6    38.3691   1.496E+01   1.0000   0.1759   1.774E-16   2.28747107E+00   2.54193141E+00
    2700       46552.7    35.9714   1.719E+01   1.0000   0.1668   1.933E-16   2.30541400E+00   2.51827265E+00
    2715         46800    10.0318   1.713E+01   1.0000   0.1553   1.397E-16   2.31228561E+00   2.50850268E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0008   2.000E+01   0.2667   0.0389   0.000E+00   2.00000000E+00   2.00000000E+00
      50          1000    43.4715   2.000E+01   0.3288   0.0325   5.094E-18   1.99087810E+00   1.98277914E+00
     100          2000    39.0677   2.000E+01   0.3665   0.0396   5.297E-18   1.98383890E+00   1.97003777E+00
     150          3000    38.6300   2.000E+01   0.3398   0.0326   5.025E-18   1.97771566E+00   1.95579194E+00
     200          4000    38.2162   2.000E+01   0.3223   0.0290   4.737E-18   1.97179521E+00   1.94179079E+00
     250          5000    38.8847   2.000E+01   0.3177   0.0356   4.633E-18   1.96401602E+00   1.92620583E+00
     300          6000    37.7465   2.000E+01   0.3261   0.0438   4.737E-18   1.95693354E+00   1.91329895E+00
     350          7000    40.4171   2.000E+01   0.4089   0.0700   5.245E-18   1.94974842E+00   1.90388328E+00
     400          8000    38.0713   2.000E+01   0.3906   0.0781   4.974E-18   1.94097674E+00   1.88610062E+00
     450          9000    41.0605   2.000E+01   0.4242   0.0803   5.719E-18   1.93331970E+00   1.87187124E+00
     500         10000    39.2754   2.000E+01   0.4067   0.0896   7.819E-18   1.92705605E+00   1.86258450E+00
     540         10800    31.2327   2.000E+01   0.4285   0.1043   7.669E-18   1.92248533E+00   1.85351568E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     550         11000    12.5254   2.000E+01   0.4430   0.1097   9.209E-18   1.92137102E+00   1.85151110E+00
     600         12000    41.6978   2.000E+01   0.5025   0.1226   1.216E-17   1.91594619E+00   1.84399295E+00
     650         13000    42.9793   2.000E+01   0.5627   0.1230   1.727E-17   1.91104038E+00   1.83651162E+00
     700         14000    40.8958   2.000E+01   0.5985   0.1335   2.140E-17   1.90708270E+00   1.83340876E+00
     750         15000    42.8962   2.000E+01   0.6143   0.1585   2.355E-17   1.90373049E+00   1.83561575E+00
     800         16000    42.4339   2.000E+01   0.7059   0.1586   3.030E-17   1.90109315E+00   1.83393086E+00
     850         17000    40.4604   2.000E+01   0.7675   0.1783   3.063E-17   1.89936974E+00   1.83264321E+00
     900         17960    38.8185   2.000E+01   0.7866   0.1984   3.573E-17   1.89948046E+00   1.85542854E+00
     950         18940    45.3931   2.000E+01   0.9040   0.1756   3.967E-17   1.90010619E+00   1.87266294E+00
